reactions,data_type,kcat,MW,kcat_MW
GLUCYS,ours,14.884766,58268.61490000007,919.6229855808696
G3PAT181,ours,14.793701,8639.416499999992,532.4679063935628
ASPO5,ours,14.792426,60336.71520000015,882.5925213774294
APG3PAT141,ours,14.763131,22193.16890000001,2394.758127578616
ORNabcpp,ours,14.740306,27991.30769999997,490.6056841890103
CS,ours,14.699365,48014.47290000005,1102.1200651356091
COLIPAKpp,ours,14.699365,26758.797600000005,1977.5819074919864
CYNTAH,ours,14.699365,17048.62789999999,3103.928029304929
CRNt8pp,ours,14.699365,56586.61990000004,935.1630136862082
CRNt7pp,ours,14.699365,56586.61990000004,935.1630136862082
CRNt2rpp,ours,14.699365,54845.15890000003,964.8566083377683
CRNabcpp,ours,14.699365,37619.23870000002,449.20277311641576
CMtpp,ours,14.699365,53740.044600000125,253.21632406523605
CSND,ours,14.699365,47590.40320000001,1111.9408629006948
UAMAGS,ours,14.64912,46973.09410000008,1122.7029645466746
UAMAS,ours,14.64912,53625.32980000008,983.4313783558292
SUCptspp,ours,14.646957,9119.2594,374.6755768931836
AACPS4,ours,14.588416,8639.416499999992,587.8576497704761
PRPPS,ours,14.30612,34217.885000000024,1505.1202609395632
PAPA180,ours,14.060244,29020.883700000028,1744.153586887499
CBItonex,ours,13.851572,26287.070799999983,365.8145049058502
GALt2pp,ours,13.749852,50981.91700000004,970.9220467327652
MALTptspp,ours,13.526151,9119.2594,330.0010934041025
BTS5,ours,13.524602,38647.68880000006,1259.805403939185
ASNS1,ours,13.433862,62658.28160000023,771.8357727831436
SCYSDS,ours,13.36727,15800.13859999999,798.9285530138907
SDPDS,ours,13.36727,41268.53570000004,1166.0741333257424
SHCHF,ours,13.36727,49950.81540000002,963.3911201377501
SDPTA,ours,13.36727,43766.45330000008,1099.5218568464609
SFGTHi_num1,ours,13.36727,31258.9278,1539.4696935190464
SERt4pp,ours,13.36727,43477.19440000009,1106.8371053859883
ADOCBLabcpp,ours,13.305642,34948.8956,524.0950545046672
FEOXAMtonex,ours,13.296229,82181.24900000039,318.92012739414173
ACODA,ours,13.206442,42346.84509999999,1122.7091672999272
ADNK1,ours,13.20642,23585.735300000008,2015.7570410789772
LPLIPAL2A161,ours,13.159448,38977.781800000055,1215.4106932785983
