reactions,data_type,kcat,MW,kcat_MW
ALLTNt2rpp_reverse,ours,90.30827292996204,52455.427700000015,6197.829220022989
ACACT1r_reverse_num1,ours,90.30684268563529,40352.03000000001,8056.710744621446
ALLTNt2rpp,ours,90.22491886583869,52455.427700000015,6192.108656031779
AKGDH,ours,90.20680565290004,44010.87490000002,1625.6795362327418
G6PDA,ours,89.21157350335064,29773.86980000001,10786.695406724126
ALAALAr_num1,ours,88.92267327848784,32839.329000000056,9748.1170764042
METSOXR1_num2,ours,88.79336088179,23314.7748,9101.49946811112
METSOXR2_num2,ours,88.71937737579137,11806.481899999984,11717.500729307541
ALAALAr_num2,ours,88.02103514991069,32839.329000000056,9649.275310700712
IG3PS,ours,86.13832369598184,21652.616999999987,6188.748617649002
DALAt2pp,ours,84.273743517711,51659.05060000008,5872.842670162411
XYLK_num2,ours,83.96663817668002,52617.64420000009,5744.839056022344
SSALy_num2,ours,83.59654007722257,49717.307200000105,6053.174663450007
SHK3Dr_num1,ours,83.42951277963584,31227.45460000001,9618.018818821338
MLTP3,ours,82.86272927515706,90521.26860000048,3295.4225012989255
PAPSR_num1,ours,82.22663672068002,15554.60489999999,6800.261978764944
AIRC2,ours,81.93916185646164,39460.63929999998,7475.3219389241385
DXYLK,ours,81.80998864600262,52617.64420000009,5597.2851617254455
SSALx,ours,81.3713315888147,49717.307200000105,5892.048669114812
CS,ours,81.1128840597562,48014.47290000005,6081.632578228761
LEUt2rpp_reverse,ours,81.03627855596159,46208.158800000085,6313.40028206147
HACD1_num2,ours,80.89487293468011,77071.2984000004,3778.599149237206
GAL1PPpp,ours,80.70821373475,45682.38450000005,6360.210234759083
G1PPpp,ours,80.70821095702851,45682.38450000005,6360.21001586076
UGLT_reverse,ours,80.16379887946589,39645.20790000008,7279.3079227635135
UGLT,ours,79.84242531261373,39645.20790000008,7250.125459057281
EDTXS1,ours,79.18100330879855,35406.449200000025,8050.8387130691035
PGK,ours,79.16323090277041,41117.70940000005,6931.019149864733
LEUt2rpp,ours,79.04292734846392,46208.158800000085,6158.10163928171
HACD1_reverse_num2,ours,78.17379845271968,77071.2984000004,3651.4977724806226
F6PP,ours,78.1551243880196,30412.456100000025,9251.421419951357
COLIPAabctex,ours,78.12787846846814,20126.6397,1892.6754569425511
ACOLIPAabctex,ours,78.02688061421289,21702.360700000016,1890.2287482426607
HACD2_num2,ours,77.21307867433026,77071.2984000004,3606.6225559732816
ECOAH1_reverse_num2,ours,76.31208172975539,77071.2984000004,3564.5369927635475
HACD1_num1,ours,75.72705321302927,79592.95340000032,3425.1448139742515
HACD1_reverse_num1,ours,75.33826638389438,79592.95340000032,3407.559933339761
DHORTS,ours,75.26404735326697,38826.943300000086,6978.416209028757
FUMt2_3pp_num1,ours,74.96377461058536,45750.16070000011,5898.768101990659
SUCFUMtpp_num3,ours,74.886750845245,45750.16070000011,5892.707236826851
PPPGO,ours,74.49241866740728,21226.0465,12634.133596318381
ENO_reverse,ours,73.68542924151879,45654.40730000001,5810.338167931216
CHOLD,ours,72.99676555498785,61876.90950000016,4246.9534778228635
PGK_reverse,ours,72.95250753886386,41117.70940000005,6387.24848665596
ECOAH2_reverse_num2,ours,72.43279933830095,77071.2984000004,3383.3357297881207
CBMKr_reverse_num3,ours,72.26991002362347,33070.58030000003,7867.163918047251
LALADGLUtpp_num4,ours,71.8206185147153,54158.33160000011,4774.043420735187
ECOAH1_reverse_num1,ours,71.79458509165917,79592.95340000032,3247.2787513118215
HACD2_num1,ours,71.70407802081574,79592.95340000032,3243.185104310197
FE3DCITabcpp,ours,71.07663695385848,28190.35910000001,1962.8450439134585
CHLt2pp_num1,ours,70.95936659381944,75841.25630000028,3368.268567799938
FUMt2_2pp,ours,70.77016157653472,45435.73190000005,5607.317655546003
ANS,ours,70.63132038650845,56869.27080000013,2223.381306889869
LALADGLUtpp_num3,ours,70.06608162481824,53054.00150000016,4754.361343495361
HACD2_reverse_num2,ours,69.35488425114058,77071.2984000004,3239.5663299751127
ACKr_reverse_num1,ours,68.13485943267338,43383.618700000006,5653.8735427716665
CTBTt2rpp,ours,68.05310035016754,54845.15890000003,4466.960551747129
ALDD2x,ours,68.00850945935133,53417.97230000012,4583.300778971429
CTBTt2rpp_reverse,ours,68.0031860818148,54845.15890000003,4463.684212145352
MTHFC_reverse,ours,67.87281525776551,31043.375400000023,7870.991210831914
ECOAH2_reverse_num1,ours,67.52377462288482,79592.95340000032,3054.10941871626
HACD2_reverse_num1,ours,66.93760389118816,79592.95340000032,3027.5968375898515
XYLt2pp,ours,66.92837011103079,53607.40820000006,4494.56783101315
PTAr_reverse_num1,ours,66.75164424192063,77171.18800000039,3113.9331335797638
3AMACHYD,ours,66.36556174189171,28897.78400000002,8267.62433655155
ALAALAabcpp_num2,ours,66.1992906053491,35843.97310000002,1171.0840972185244
RIBabcpp_num2,ours,65.86355493818017,15292.332499999997,1759.818170260891
FDH5pp_num1,ours,65.16856831521868,32238.40620000004,1375.4395607995425
FDH4pp_num2,ours,65.09487032277667,112962.02910000064,1373.8841002918643
GLYCDx,ours,64.83030263011031,38711.74710000004,6028.895799135785
AGDC,ours,64.71054687177201,40948.62670000001,5689.03007285417
LEUTRS,ours,64.1907352333189,97232.6634000005,2376.635985885653
