reaction,gene,name,our_name,GLC_BATCH_mu=0.6_H,real_prot,pred_prot,kcat_Density,absolute_error,square_error,root_square_error,error
ECOAH2_num1,b3846,fadB,ECDH1ME8569_3723,4.7572553393314023e-07,0.4757255339331402,0.532442766538925,0.0073449440639922385,0.05671723260578476,0.003216844474458694,0.05671723260578476,-0.05671723260578476
ECOAH3_num1,b3846,fadB,ECDH1ME8569_3723,4.7572553393314023e-07,0.4757255339331402,0.5569189837628978,0.007345850198137823,0.08119344982975762,0.0065923762952573685,0.08119344982975762,-0.08119344982975762
ECOAH4_num1,b3846,fadB,ECDH1ME8569_3723,4.7572553393314023e-07,0.4757255339331402,0.6849083077723973,0.0073486156477351565,0.2091827738392571,0.043757432871085786,0.2091827738392571,-0.2091827738392571
ECOAH5_num1,b3846,fadB,ECDH1ME8569_3723,4.7572553393314023e-07,0.4757255339331402,0.6552856818267692,0.007348270070096219,0.17956014789362895,0.0322418467115819,0.17956014789362895,-0.17956014789362895
ECOAH6_num1,b3846,fadB,ECDH1ME8569_3723,4.7572553393314023e-07,0.4757255339331402,0.4682126617076241,0.007341989947828726,0.0075128722255161096,5.6443249076931384e-05,0.0075128722255161096,0.0075128722255161096
ECOAH7_num1,b3846,fadB,ECDH1ME8569_3723,4.7572553393314023e-07,0.4757255339331402,0.6131247906245294,0.00734747243437464,0.1373992566913892,0.01887855573934626,0.1373992566913892,-0.1373992566913892
ECOAH8_reverse_num1,b3846,fadB,ECDH1ME8569_3723,4.7572553393314023e-07,0.4757255339331402,8.34637369201897e-17,0.007295286267301423,0.4757255339331401,0.22631478363597124,0.4757255339331401,0.4757255339331401
ENO,b2779,eno,ECDH1ME8569_2689,2.1044715490378184e-05,21.044715490378184,18.395875563947914,9.362642533959697e-05,2.64883992643027,7.016352955851118,2.64883992643027,2.64883992643027
FACOAE120,b0452,tesB,ECDH1ME8569_0437,6.159732917756557e-07,0.6159732917756557,0.721326997565492,0.007431508657358141,0.10535370578983627,0.01109940332365138,0.10535370578983627,-0.10535370578983627
FACOAE140,b0452,tesB,ECDH1ME8569_0437,6.159732917756557e-07,0.6159732917756557,6.066726597496123e-16,0.007359034746694466,0.6159732917756552,0.37942309618093645,0.6159732917756552,0.6159732917756552
FACOAE160,b0452,tesB,ECDH1ME8569_0437,6.159732917756557e-07,0.6159732917756557,3.161891802672942,0.006919191942485344,2.5459185108972866,6.4817010641294575,2.5459185108972866,-2.5459185108972866
FACOAE80,b0452,tesB,ECDH1ME8569_0437,6.159732917756557e-07,0.6159732917756557,6.794399334682694e-16,0.007359034746694466,0.6159732917756551,0.3794230961809363,0.6159732917756551,0.6159732917756551
FACOAL181t2pp_num1,b1805,fadD,ECDH1ME8569_1749,6.318097090617473e-07,0.6318097090617473,3.387395744414816e-16,0.007364688591597223,0.6318097090617469,0.3991835084646893,0.6318097090617469,0.6318097090617469
