reaction,gene,name,our_name,GLC_BATCH_mu=0.6_H,kcat_vivo,kcat_vitro,kcat_vitro_log10,kcat_vivo_log10,kcat_Density,absolute_error,square_error,error
CHRPL,b4039,ubiC,ECDH1ME8569_3896,3.860857147948872e-06,1.0157631009720582,6.188317649250844,0.7915725981391847,0.006792432419252091,0.2714176642864424,0.7847801657199326,0.6158799085074048,0.7847801657199326
CS,b0720,gltA,ECDH1ME8569_0679,1.2312363871569814e-05,110.5488470763316,116.36002708713612,2.0658038136732717,2.043554217642926,0.1979371562215002,0.022249596030345486,0.0004950445235135657,0.022249596030345486
CTPS2,b2780,pyrG,ECDH1ME8569_2690,3.4733219241236484e-06,13.612993395896597,3.9437606690334506,0.5959105514842064,1.133953633827708,0.18871537608325684,0.5380430823435017,0.28949035845769616,-0.5380430823435017
CYSS_num1,b2414,cysK,ECDH1ME8569_2348,9.358030673021773e-06,8.228755471522659,43.39102494299101,1.6373999087562694,0.9153341568744093,0.10675151781964033,0.7220657518818601,0.5213789500407159,0.7220657518818601
DALAt2pp,b4208,cycA,ECDH1ME8569_4065,5.910857392659474e-07,7.4150100400069,5.145111782308679,0.7113948146499526,0.8701117434044066,0.25603710444292305,0.15871692875445398,0.02519106347324642,-0.15871692875445398
DAPDC,b2838,lysA,ECDH1ME8569_2745,2.190401187067305e-06,43.75577529937773,10.189745968374533,1.0081633571263127,1.6410353834181526,0.23838653678887808,0.6328720262918399,0.4005270016627393,-0.6328720262918399
DAPE,b3809,dapF,ECDH1ME8569_3689,1.4776771832910413e-07,686.101888411527,11.570305716860686,1.0633448342664886,2.8363886146704966,0.05217672911228606,1.773043780404008,3.143684247229336,-1.773043780404008
DB4PS,b3041,ribB,ECDH1ME8569_2938,5.416724722189406e-07,1.4494160894867636,8.161027520277774,0.9117448423682005,0.16119307796786353,0.2811132779320408,0.750551764400337,0.563327951044459,0.750551764400337
DBTS,b0778,bioD,ECDH1ME8569_0731,2.209843896863731e-06,1.0002469954351025,4.267305321878392,0.6301537173526763,0.00010725550925494533,0.2754174860750404,0.6300464618434214,0.39695854408141384,0.6300464618434214
DDPA_num1,b2601,aroF,ECDH1ME8569_2522,3.1102376281882683e-06,34.441639159690446,9.50055756071571,0.9777490935453322,1.5370838123829025,0.2569360153552923,0.5593347188375702,0.3128553276971038,-0.5593347188375702
DHAD1,b3771,ilvD,ECDH1ME8569_3652,1.948899221143476e-06,123.4267229611509,7.162176382351807,0.8550450121434704,2.09140919841778,0.09916811864447628,1.2363641862743098,1.5285964011017361,-1.2363641862743098
DHAD2,b3771,ilvD,ECDH1ME8569_3652,1.948899221143476e-06,41.6837179348464,4.80811446348995,0.6819747980692139,1.6199664484530794,0.13225146911812877,0.9379916503838654,0.8798283361898477,-0.9379916503838654
DHDPRy,b0031,dapB,ECDH1ME8569_0028,9.421888277258007e-07,108.44761548265134,50.17337561644821,1.7004733209256875,2.0352200073035407,0.15223429216008866,0.3347466863778532,0.11205534404095281,-0.3347466863778532
DHDPS,b2478,dapA,ECDH1ME8569_2404,5.166700084031225e-06,20.593926728285016,72.0428571269603,1.857590928049046,1.3137391632198836,0.11701213802586108,0.5438517648291623,0.2957747421077945,0.5438517648291623
DHFS,b2315,folC,ECDH1ME8569_2253,6.390658917833849e-07,1.2856939253574173,7.02148428821389,0.846428928375156,0.10913759195567238,0.2892551364693661,0.7372913364194836,0.5435985147592282,0.7372913364194836
DHORD2,b0945,pyrD,ECDH1ME8569_0896,2.306952442925174e-06,40.13279088599331,37.79370204257018,1.5774194348625925,1.6034993621819127,0.23908231623174628,0.026079927319320184,0.0006801626089810233,-0.026079927319320184
DHORTS_reverse,b1062,pyrC,ECDH1ME8569_0997,8.873639191832538e-06,11.173671205384972,10.348013641056715,1.0148569925446753,1.0481958877340187,0.3019657891744248,0.03333889518934341,0.0011114819324460252,-0.03333889518934341
