UniProtID,Unnamed: 0,proteinNames,txt_subunit,geneNames,subunitnumber
P52061,837,"['dITP/XTP pyrophosphatase', 'Deoxyribonucleoside triphosphate pyrophosphohydrolase', 'Inosine triphosphate pyrophosphatase', 'ITPase', 'Non-canonical purine NTP pyrophosphatase', 'Non-standard purine NTP pyrophosphatase', 'Nucleoside-triphosphate diphosphatase', 'Nucleoside-triphosphate pyrophosphatase', 'NTPase']",Homodimer.,"['rdgB', 'yggV', 'b2954', 'JW2921']",2
P25742,838,['Lipopolysaccharide heptosyltransferase 3'],Homodimer.,"['waaQ', 'rfaQ', 'b3632', 'JW3607']",2
P77788,839,['CTP pyrophosphohydrolase'],Monomer.,"['nudG', 'ynjG', 'b1759', 'JW1748']",1
P27242,840,"['Putative lipopolysaccharide heptosyltransferase 4', 'ADP-heptose:LPS heptosyltransferase 4', 'HepIV transferase']",Monomer.,"['waaU', 'rfaK', 'waaK', 'b3623', 'JW3598']",1
P15723,841,['Deoxyguanosinetriphosphate triphosphohydrolase'],Homotetramer.,"['dgt', 'b0160', 'JW0156']",4
P52643,842,"['D-lactate dehydrogenase', 'D-LDH']",Homotetramer.,"['ldhA', 'hslI', 'htpH', 'b1380', 'JW1375']",4
P76423,843,['Hydroxyethylthiazole kinase'],Homotetramer.,"['thiM', 'b2104', 'JW2091']",4
P04693,844,['Aromatic-amino-acid aminotransferase'],Homodimer.,"['tyrB', 'b4054', 'JW4014']",2
P08201,845,['Nitrite reductase (NADH) large subunit'],Homodimer which associates with NirD.,"['nirB', 'b3365', 'JW3328']",2
P0A9I8,846,['Nitrite reductase (NADH) small subunit'],Associates with NirB.,"['nirD', 'b3366', 'JW3329']",1
P0A6V8,847,['Glucokinase'],Associates with NirB.,"['glk', 'b2388', 'JW2385']",1
P0AAK7,848,['Protein NrfC'],Associates with NirB.,"['nrfC', 'yjcJ', 'b4072', 'JW4033']",1
P07813,849,['Leucine--tRNA ligase'],Monomer.,"['leuS', 'b0642', 'JW0637']",1
P23917,850,"['Fructokinase', 'D-fructose kinase', 'Manno(fructo)kinase']",Monomer.,"['mak', 'yajF', 'b0394', 'JW0385']",1
P04816,851,['Leucine-specific-binding protein'],Monomer.,"['livK', 'b3458', 'JW3423']",1
P0AC81,852,"['Lactoylglutathione lyase', 'Aldoketomutase', 'Glyoxalase I', 'Glx I', 'Ketone-aldehyde mutase', 'Methylglyoxalase', 'S-D-lactoylglutathione methylglyoxal lyase']",Homodimer.,"['gloA', 'b1651', 'JW1643']",2
P0ABK9,853,['Cytochrome c-552'],"Homodimer (PubMed:11863430, PubMed:18311941). Component of a membrane-associated heterooligomeric complex (Probable).","['nrfA', 'b4070', 'JW4031']",2
