,UniProtID,proteinNames,txt_subunit,geneNames
1084,P0AEB0,['Sulfate transport system permease protein CysW'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['cysW', 'b2423', 'JW2416']"
1085,P33018,"['S-formylglutathione hydrolase YeiG', 'FGH']",Homotetramer.,"['yeiG', 'b2154', 'JW2141']"
1086,P16701,['Sulfate transport system permease protein CysT'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['cysU', 'cysT', 'b2424', 'JW2417']"
1087,P76215,['Succinylglutamate desuccinylase'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['astE', 'ydjS', 'b1744', 'JW1733']"
1088,P16676,['Sulfate/thiosulfate import ATP-binding protein CysA'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['cysA', 'b2422', 'JW2415']"
1089,P0AFJ7,['Low-affinity inorganic phosphate transporter PitA'],"Interacts with the small protein MgtS, and this interaction contributes to an increase in intracellular Mg(2+) content.","['pitA', 'pit', 'b3493', 'JW3460']"
1090,P76217,['N-succinylglutamate 5-semialdehyde dehydrogenase'],"Interacts with the small protein MgtS, and this interaction contributes to an increase in intracellular Mg(2+) content.","['astD', 'ydjU', 'b1746', 'JW5282']"
1091,P0AAH0,"['Phosphate import ATP-binding protein PstB', 'ABC phosphate transporter', 'Phosphate-transporting ATPase']","The complex is composed of two ATP-binding proteins (PstB), two transmembrane proteins (PstC and PstA) and a solute-binding protein (PstS).","['pstB', 'phoT', 'b3725', 'JW3703']"
1092,P0AF01,['Molybdenum transport system permease protein ModB'],"The complex is composed of two ATP-binding proteins (PstB), two transmembrane proteins (PstC and PstA) and a solute-binding protein (PstS).","['modB', 'chlJ', 'b0764', 'JW0747']"
1093,P09833,['Molybdenum import ATP-binding protein ModC'],"The complex is composed of two ATP-binding proteins (ModC), two transmembrane proteins (ModB) and a solute-binding protein (ModA).","['modC', 'chlD', 'narD', 'b0765', 'JW0748']"
1094,P37355,"['2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase', 'SHCHC synthase']",Monomer.,"['menH', 'yfbB', 'b2263', 'JW2258']"
1095,P0AG78,['Sulfate-binding protein'],Monomer.,"['sbp', 'b3917', 'JW3888']"
1096,P07654,['Phosphate transport system permease protein PstA'],Monomer.,"['pstA', 'phoT', 'b3726', 'JW3704']"
1097,P0AEA8,['Siroheme synthase'],Monomer.,"['cysG', 'b3368', 'JW3331']"
1098,P0AG82,"['Phosphate-binding protein PstS', 'PBP']","The complex is composed of two ATP-binding proteins (PstB), two transmembrane proteins (PstC and PstA) and a solute-binding protein (PstS).","['pstS', 'phoS', 'b3728', 'JW3706']"
1099,P15770,['Shikimate dehydrogenase (NADP(+))'],Monomer or homodimer.,"['aroE', 'b3281', 'JW3242']"
1100,P0AGH8,['Phosphate transport system permease protein PstC'],Monomer or homodimer.,"['pstC', 'phoW', 'b3727', 'JW3705']"
1101,P16700,['Thiosulfate-binding protein'],"The complex is composed of two ATP-binding proteins (CysA), two transmembrane proteins (CysT and CysW) and a solute-binding protein (CysP).","['cysP', 'b2425', 'JW2418']"
1102,Q46810,"['Molybdenum cofactor cytidylyltransferase', 'MoCo cytidylyltransferase', 'CTP:molybdopterin cytidylyltransferase', 'Mo-MPT cytidylyltransferase', 'Molybdopterin cytidylyltransferase', 'Molybdopterin-cytosine dinucleotide synthase', 'MCD synthase']",Monomer. Interacts with the Moco-binding chaperone PaoD.,"['mocA', 'ygfJ', 'b2877', 'JW2845']"
1103,P31057,['3-methyl-2-oxobutanoate hydroxymethyltransferase'],Homodecamer; pentamer of dimers.,"['panB', 'b0134', 'JW0130']"
1104,P0A6E1,"['Shikimate kinase 2', 'SK 2']",Monomer.,"['aroL', 'b0388', 'JW0379']"
1105,P0AF03,"['Molybdopterin adenylyltransferase', 'MPT adenylyltransferase']",Homotrimer. Interacts with MoeA and MobB in vivo.,"['mog', 'chlG', 'mogA', 'yaaG', 'b0009', 'JW0008']"
1106,P0A921,"['Phospholipase A1', 'Detergent-resistant phospholipase A', 'DR-phospholipase A', 'Outer membrane phospholipase A']","Homodimer; dimerization is reversible, and the dimeric form is the active one.","['pldA', 'b3821', 'JW3794']"
1107,P0A6D7,"['Shikimate kinase 1', 'SK 1']",Monomer.,"['aroK', 'b3390', 'JW5947']"
1108,P24175,"['Phosphomannomutase', 'PMM']",Monomer.,"['manB', 'cpsG', 'rfbL', 'b2048', 'JW2033']"
1109,P76577,['Penicillin-binding protein 1C'],Monomer.,"['pbpC', 'yfgN', 'b2519', 'JW2503']"
1110,P00935,"['Cystathionine gamma-synthase', 'CGS']",Homotetramer.,"['metB', 'b3939', 'JW3910']"
1111,P13001,"['Pimeloyl-[acyl-carrier protein] methyl ester esterase', 'Biotin synthesis protein BioH', 'Carboxylesterase BioH']",Monomer.,"['bioH', 'bioB', 'b3412', 'JW3375']"
1112,P76350,['Shikimate transporter'],Monomer.,"['shiA', 'yeeM', 'b1981', 'JW1962']"
1113,P0AF16,['Lipid II flippase MurJ'],Monomer.,"['murJ', 'mviN', 'yceN', 'b1069', 'JW1056']"
1114,P0AFR2,['C4-dicarboxylic acid transporter DauA'],"Interacts via the C-terminal cytoplasmic STAS domain with acyl-carrier protein (ACP), an essential component of the fatty acid biosynthesis (FAB) pathway. It also copurifies with proteins involved in fatty acid metabolism.","['dauA', 'ychM', 'b1206', 'JW5189']"
