,UniProtID,proteinNames,txt_subunit,geneNames
639,P0A9C5,"['Glutamine synthetase', 'GS', 'Glutamate--ammonia ligase', 'Glutamine synthetase I beta', 'GSI beta']",Oligomer of 12 subunits arranged in the form of two hexameric ring.,"['glnA', 'b3870', 'JW3841']"
640,P28861,"['Flavodoxin/ferredoxin--NADP reductase', 'Ferredoxin (flavodoxin):NADP(+) oxidoreductase', 'Ferredoxin--NADP reductase', 'FNR', 'Flavodoxin--NADP reductase', 'FLDR', 'Methyl viologen resistance protein A', 'dA1']",Monomer.,"['fpr', 'mvrA', 'b3924', 'JW3895']"
641,P0ABY4,['Flavodoxin 2'],Monomer.,"['fldB', 'b2895', 'JW2863']"
642,P00962,['Glutamine--tRNA ligase'],Monomer.,"['glnS', 'b0680', 'JW0666']"
643,P61949,['Flavodoxin 1'],Monomer.,"['fldA', 'b0684', 'JW0671']"
644,P0AEQ3,"['Glutamine-binding periplasmic protein', 'GlnBP']",Monomer.,"['glnH', 'b0811', 'JW0796']"
645,P10346,['Glutamine transport ATP-binding protein GlnQ'],Heterotetramer with 2 subunits of GlnQ and 2 subunits of GlnP.,"['glnQ', 'b0809', 'JW0794']"
646,P23882,['Methionyl-tRNA formyltransferase'],Monomer.,"['fmt', 'yhdD', 'b3288', 'JW3249']"
647,P0AEQ6,['Glutamine transport system permease protein GlnP'],Monomer.,"['glnP', 'b0810', 'JW0795']"
648,P0AG40,['Bifunctional riboflavin kinase/FMN adenylyltransferase'],Monomer.,"['ribF', 'yaaC', 'b0025', 'JW0023']"
649,P0A9S3,['Galactitol 1-phosphate 5-dehydrogenase'],Monomer.,"['gatD', 'b2091', 'JW2075']"
650,P80644,"['FMN reductase (NADPH)', 'FMN reductase', 'Sulfate starvation-induced protein 4', 'SSI4']",Homodimer.,"['ssuE', 'ycbP', 'b0937', 'JW0920']"
651,P0A7B5,['Glutamate 5-kinase'],Homotetramer. Dimer of dimers. May form a complex with gamma-glutamyl phosphate reductase (proA).,"['proB', 'b0242', 'JW0232']"
652,P63235,"['Glutamate/gamma-aminobutyrate antiporter', 'Glu/GABA antiporter']",Monomer.,"['gadC', 'acsA', 'xasA', 'b1492', 'JW1487']"
653,P0AC28,"['5-formyltetrahydrofolate cyclo-ligase', '5-FCL']",Monomer.,"['ygfA', 'b2912', 'JW2879']"
654,P0A6W9,"['Glutamate--cysteine ligase', 'Gamma-ECS', 'GCS', 'Gamma-glutamylcysteine synthetase']",Monomer.,"['gshA', 'gsh-I', 'b2688', 'JW2663']"
655,P69902,"['Formyl-CoA:oxalate CoA-transferase', 'FCOCT']",Homodimer.,"['frc', 'yfdW', 'b2374', 'JW2371']"
656,P0ACE0,"['Hydrogenase-2 large chain', 'HYD2', 'Membrane-bound hydrogenase 2 large subunit', 'NiFe hydrogenase']",Heterodimer of a large and a small subunit.,"['hybC', 'b2994', 'JW2962']"
657,P69910,"['Glutamate decarboxylase beta', 'GAD-beta']",Homohexamer composed of three dimers.,"['gadB', 'b1493', 'JW1488']"
658,P77733,['Formate channel FocB'],Homohexamer composed of three dimers.,"['focB', 'b2492', 'JW2477']"
659,P69908,"['Glutamate decarboxylase alpha', 'GAD-alpha']",Homohexamer.,"['gadA', 'gadS', 'b3517', 'JW3485']"
660,P0AC23,['Formate channel FocA'],"Homopentamer (PubMed:20041954, PubMed:24659605, PubMed:33169422). Interacts directly with the pyruvate formate-lyase PflB (PubMed:24887098). PflB interacts with the cytoplasmically oriented face of FocA and the N-terminal helix of FocA is important for this specific interaction (PubMed:24887098). Also interacts with the ketobutyrate/pyruvate formate-lyase TdcE (PubMed:28955877).","['focA', 'ycaE', 'b0904', 'JW0887']"
661,P37180,['Probable Ni/Fe-hydrogenase 2 b-type cytochrome subunit'],"Homopentamer (PubMed:20041954, PubMed:24659605, PubMed:33169422). Interacts directly with the pyruvate formate-lyase PflB (PubMed:24887098). PflB interacts with the cytoplasmically oriented face of FocA and the N-terminal helix of FocA is important for this specific interaction (PubMed:24887098). Also interacts with the ketobutyrate/pyruvate formate-lyase TdcE (PubMed:28955877).","['hybB', 'b2995', 'JW5494']"
662,P0ACD4,['Iron-sulfur cluster assembly scaffold protein IscU'],Homodimer. Forms a heterotetramer with IscS; each subunit of the IscS dimer contacts an IscU monomer.,"['iscU', 'nifU', 'yfhN', 'b2529', 'JW2513']"
663,P00370,"['NADP-specific glutamate dehydrogenase', 'NADP-GDH']",Homohexamer.,"['gdhA', 'b1761', 'JW1750']"
664,P0A6B7,"['Cysteine desulfurase IscS', 'NifS protein homolog', 'ThiI transpersulfidase', 'TusA transpersulfidase']","Homodimer. The homodimer interacts with IscU and TusA, other S acceptors. Each subunit of the IscS dimer contacts a IscU monomer.","['iscS', 'nuvC', 'yfhO', 'yzzO', 'b2530', 'JW2514']"
665,P0A6W0,['Glutaminase 2'],Homotetramer.,"['glsA2', 'yneH', 'b1524', 'JW1517']"
666,P27838,['Iron-sulfur cluster assembly protein CyaY'],"Monomer (PubMed:16603772, PubMed:19305405, PubMed:28931050). Forms homodimers and higher oligomers in the presence of iron (PubMed:16603772, PubMed:28931050). Interacts with IscS (PubMed:16603772, PubMed:19305405, PubMed:25430730).","['cyaY', 'b3807', 'JW3779']"
667,P0AAC8,['Iron-binding protein IscA'],Homodimer; may form tetramers and higher multimers.,"['iscA', 'yfhF', 'b2528', 'JW2512']"
668,P00363,['Fumarate reductase flavoprotein subunit'],"Part of an enzyme complex containing four subunits: a flavoprotein (FrdA), an iron-sulfur protein (FrdB), and two hydrophobic anchor proteins (FrdC and FrdD) (PubMed:10373108, PubMed:11850430). Can be cross-linked to SdhE (PubMed:26644464). Purified from membrane fractions associated with protoporphyrinogen IX dehydrogenase (hemG) (PubMed:20484676).","['frdA', 'b4154', 'JW4115']"
669,P77454,['Glutaminase 1'],Homotetramer.,"['glsA1', 'ybaS', 'b0485', 'JW0474']"
670,P08200,"['Isocitrate dehydrogenase [NADP]', 'IDH', 'IDP', 'NADP(+)-dependent isocitric dehydrogenase', 'NADP(+)-specific ICDH', 'Oxalosuccinate decarboxylase']",Homodimer.,"['icd', 'icdA', 'icdE', 'b1136', 'JW1122']"
671,P0AG16,"['Amidophosphoribosyltransferase', 'ATase']",Homotetramer.,"['purF', 'b2312', 'JW2309']"
672,P0A8Q3,"['Fumarate reductase subunit D', 'Fumarate reductase 13 kDa hydrophobic protein', 'Quinol-fumarate reductase subunit D', 'QFR subunit D']","Part of an enzyme complex containing four subunits: a flavoprotein (FrdA), an iron-sulfur protein (FrdB), and two hydrophobic anchor proteins (FrdC and FrdD).","['frdD', 'b4151', 'JW4112']"
673,P22634,['Glutamate racemase'],Monomer.,"['murI', 'dga', 'glr', 'yijA', 'b3967', 'JW5550']"
674,P0AC47,['Fumarate reductase iron-sulfur subunit'],"Part of an enzyme complex containing four subunits: a flavoprotein (FrdA), an iron-sulfur protein (FrdB), and two hydrophobic anchor proteins (FrdC and FrdD).","['frdB', 'b4153', 'JW4114']"
675,P38051,"['Isochorismate synthase MenF', 'Isochorismate hydroxymutase', 'Isochorismate mutase']",Homodimer.,"['menF', 'yfbA', 'b2265', 'JW2260']"
676,P0A6X1,"['Glutamyl-tRNA reductase', 'GluTR']","Homodimer. Interacts with glutamate-1-semialdehyde 2,1-aminomutase (GSA-AM), which forms a metabolic channeling between both enzymes to protect the reactive aldehyde species GSA.","['hemA', 'b1210', 'JW1201']"
677,P0AEJ2,['Isochorismate synthase EntC'],Monomer. Forms a specific pairwise interaction with EntB; this interaction likely facilitates substrate channeling to connect the EntB and EntC active sites (PubMed:35952947).,"['entC', 'b0593', 'JW0585']"
678,P0A8Q0,"['Fumarate reductase subunit C', 'Fumarate reductase 15 kDa hydrophobic protein', 'Quinol-fumarate reductase subunit C', 'QFR subunit C']","Part of an enzyme complex containing four subunits: a flavoprotein (FrdA), an iron-sulfur protein (FrdB), and two hydrophobic anchor proteins (FrdC and FrdD).","['frdC', 'b4152', 'JW4113']"
679,P04805,['Glutamate--tRNA ligase'],Monomer.,"['gltX', 'b2400', 'JW2395']"
680,P0AEW9,['1-phosphofructokinase'],Homodimer.,"['fruK', 'fpk', 'b2168', 'JW2155']"
681,P0ADI4,"['Enterobactin synthase component B', 'Enterobactin biosynthesis bifunctional protein EntB', 'Enterochelin synthase B']","Proteins EntB, EntD, EntE, and EntF form a multienzyme complex called enterobactin synthase. Homodimer (PubMed:16632253). Also forms a specific pairwise interaction with EntC; this interaction likely facilitates substrate channeling to connect the EntB and EntC active sites (PubMed:35952947).","['entB', 'entG', 'b0595', 'JW0587']"
682,P0AER8,['Sodium/glutamate symporter'],"Proteins EntB, EntD, EntE, and EntF form a multienzyme complex called enterobactin synthase. Homodimer (PubMed:16632253). Also forms a specific pairwise interaction with EntC; this interaction likely facilitates substrate channeling to connect the EntB and EntC active sites (PubMed:35952947).","['gltS', 'gltC', 'b3653', 'JW3628']"
683,P0A9G6,"['Isocitrate lyase', 'ICL', 'Isocitrase', 'Isocitratase']",Homotetramer.,"['aceA', 'icl', 'b4015', 'JW3975']"
684,P0AEP7,['Glyoxylate carboligase'],Homotetramer.,"['gcl', 'b0507', 'JW0495']"
685,P0AC00,['Fructoselysine 6-phosphate deglycase'],Homododecamer.,"['frlB', 'yhfN', 'b3371', 'JW5700']"
686,P0AER0,"['Glycerol uptake facilitator protein', 'Aquaglyceroporin', 'Glycerol facilitator']","Homotetramer (PubMed:11039922, PubMed:11226336). Exists in multiple oligomeric states (PubMed:11226336). Is predominantly disassociated in the less dense fractions (PubMed:11226336). Tetramers are stabilized while in the membrane and during affinity purification (PubMed:11226336).","['glpF', 'b3927', 'JW3898']"
687,P45541,['Fructoselysine 3-epimerase'],Homooctamer.,"['frlC', 'yhfO', 'yhfP', 'b4474', 'JW5699']"
688,P39346,['L-idonate 5-dehydrogenase (NAD(P)(+))'],Homooctamer.,"['idnD', 'yjgV', 'b4267', 'JW4224']"
689,P0AB77,"['2-amino-3-ketobutyrate coenzyme A ligase', 'AKB ligase']",Homodimer.,"['kbl', 'b3617', 'JW3592']"
690,P60664,"['Imidazole glycerol phosphate synthase subunit HisF', 'IGP synthase cyclase subunit', 'IGP synthase subunit HisF', 'ImGP synthase subunit HisF', 'IGPS subunit HisF']",Heterodimer of HisH and HisF.,"['hisF', 'b2025', 'JW2007']"
691,P45543,['Fructoselysine 6-kinase'],Monomer.,"['frlD', 'yhfQ', 'b3374', 'JW3337']"
692,P08194,"['Glycerol-3-phosphate transporter', 'G-3-P transporter']",Monomer.,"['glpT', 'b2240', 'JW2234']"
693,P45539,['Probable fructoselysine/psicoselysine transporter FrlA'],Monomer.,"['frlA', 'yhfM', 'b3370', 'JW3333']"
694,P60595,"['Imidazole glycerol phosphate synthase subunit HisH', 'IGP synthase glutaminase subunit', 'IGP synthase subunit HisH', 'ImGP synthase subunit HisH', 'IGPS subunit HisH']",Heterodimer of HisH and HisF.,"['hisH', 'b2023', 'JW2005']"
695,P77364,"['Glycerate 3-kinase', 'D-Glycerate-3-kinase', 'Glycerate kinase 2', 'GK2']",Heterodimer of HisH and HisF.,"['glxK', 'glxB5', 'ybbZ', 'b0514', 'JW0502']"
696,P0AC94,"['High-affinity gluconate transporter', 'Gluconate permease 3', 'Gnt-III system']",Heterodimer of HisH and HisF.,"['gntP', 'yjiB', 'b4321', 'JW4284']"
697,P23524,['Glycerate 2-kinase'],Heterodimer of HisH and HisF.,"['garK', 'yhaD', 'b3124', 'JW3093']"
698,P69811,"['Multiphosphoryl transfer protein', 'MTP', 'Diphosphoryl transfer protein', 'DTP', 'Phosphotransferase FPr protein', 'Pseudo-HPr']",Heterodimer of HisH and HisF.,"['fruB', 'fpr', 'fruF', 'b2169', 'JW2156']"
699,P00909,['Tryptophan biosynthesis protein TrpCF'],Monomer.,"['trpC', 'trpF', 'b1262', 'JW1254']"
700,P0A6T9,['Glycine cleavage system H protein'],"The glycine cleavage system is composed of four proteins: P, T, L and H.","['gcvH', 'b2904', 'JW2872']"
701,P0AB80,"['Branched-chain-amino-acid aminotransferase', 'BCAT']",Homohexamer.,"['ilvE', 'b3770', 'JW5606']"
702,P20966,"[""PTS system fructose-specific EIIB'BC component""]",Homohexamer.,"['fruA', 'ptsF', 'b2167', 'JW2154']"
703,P37051,['Formyltetrahydrofolate deformylase'],Homohexamer.,"['purU', 'tgs', 'ychI', 'b1232', 'JW1220']"
704,P27248,['Aminomethyltransferase'],"The glycine cleavage system is composed of four proteins: P, T, L and H.","['gcvT', 'b2905', 'JW2873']"
705,P11551,"['L-fucose-proton symporter', '6-deoxy-L-galactose permease', 'L-fucose permease', 'L-fucose-H(+) symport protein']","The glycine cleavage system is composed of four proteins: P, T, L and H.","['fucP', 'b2801', 'JW2772']"
706,P00956,['Isoleucine--tRNA ligase'],Monomer.,"['ileS', 'ilvS', 'b0026', 'JW0024']"
707,P33195,"['Glycine dehydrogenase (decarboxylating)', 'Glycine cleavage system P-protein', 'Glycine decarboxylase', 'Glycine dehydrogenase (aminomethyl-transferring)']","The glycine cleavage system is composed of four proteins: P, T, L and H.","['gcvP', 'b2903', 'JW2871']"
708,P0AD99,"['Branched-chain amino acid permease BrnQ', 'BCAA permease', 'Branched-chain amino acid transport system 2 carrier protein', 'LIV-II']","The glycine cleavage system is composed of four proteins: P, T, L and H.","['brnQ', 'b0401', 'JW0391']"
709,P05042,"['Fumarate hydratase class II', 'Fumarase C', 'Aerobic fumarase', 'Iron-independent fumarase']",Homotetramer.,"['fumC', 'b1611', 'JW1603']"
710,P0ADG7,"[""Inosine-5'-monophosphate dehydrogenase""]",Homotetramer.,"['guaB', 'guaR', 'b2508', 'JW5401']"
711,P52073,['Glycolate oxidase subunit GlcE'],"The glycolate oxidase likely consists of three subunits, GlcD, GlcE and GlcF.","['glcE', 'gox', 'yghL', 'b4468', 'JW5487']"
712,P0ACC7,['Bifunctional protein GlmU'],Homotrimer. In vivo forms a hexameric aggregate.,"['glmU', 'yieA', 'b3730', 'JW3708']"
713,P52074,"['Glycolate oxidase iron-sulfur subunit', 'Glycolate dehydrogenase subunit GlcF', 'Glycolate oxidase subunit GlcF']","The glycolate oxidase likely consists of three subunits, GlcD, GlcE and GlcF.","['glcF', 'gox', 'yghL', 'b4467', 'JW5486']"
714,P0AEP9,['Glycolate oxidase subunit GlcD'],"The glycolate oxidase likely consists of three subunits, GlcD, GlcE and GlcF.","['glcD', 'gox', 'yghM', 'b2979', 'JW2946']"
715,P0AAD2,['Tryptophan-specific transport protein'],"The glycolate oxidase likely consists of three subunits, GlcD, GlcE and GlcF.","['mtr', 'b3161', 'JW3130']"
716,P0A6F3,"['Glycerol kinase', 'ATP:glycerol 3-phosphotransferase', 'Glycerokinase', 'GK']",Homotetramer and homodimer (in equilibrium). Heterodimer with EIIA-Glc (crr). Binds 1 zinc ion per glycerol kinase EIIA-Glc dimer. The zinc ion is important for dimerization.,"['glpK', 'b3926', 'JW3897']"
717,P0AC84,['Hydroxyacylglutathione hydrolase GloB'],Monomer.,"['gloB', 'yafR', 'b0212', 'JW0202']"
718,P31448,['Uncharacterized symporter YidK'],Monomer.,"['yidK', 'b3679', 'JW3655']"
719,P00961,['Glycine--tRNA ligase beta subunit'],Tetramer of two alpha and two beta subunits.,"['glyS', 'glyS(B)', 'b3559', 'JW3530']"
720,Q46822,"['Isopentenyl-diphosphate Delta-isomerase', 'IPP isomerase', 'IPP:DMAPP isomerase', 'Isopentenyl pyrophosphate isomerase']",Homodimer.,"['idi', 'ygfV', 'b2889', 'JW2857']"
721,P00960,['Glycine--tRNA ligase alpha subunit'],Tetramer of two alpha and two beta subunits.,"['glyQ', 'glyS(A)', 'b3560', 'JW3531']"
722,P33594,['Nickel import ATP-binding protein NikE'],"The complex is composed of two ATP-binding proteins (NikD and NikE), two transmembrane proteins (NikB and NikC) and a solute-binding protein (NikA).","['nikE', 'b3480', 'JW3445']"
723,P0AC88,"['GDP-mannose 4,6-dehydratase']",Homodimer.,"['gmd', 'yefA', 'yefN', 'b2053', 'JW2038']"
724,P30125,"['3-isopropylmalate dehydrogenase', '3-IPM-DH', 'Beta-IPM dehydrogenase', 'IMDH']",Homodimer.,"['leuB', 'b0073', 'JW5807']"
725,P76658,['Bifunctional protein HldE'],Homodimer.,"['hldE', 'rfaE', 'waaE', 'yqiF', 'b3052', 'JW3024']"
726,P30126,"['3-isopropylmalate dehydratase small subunit', 'Alpha-IPM isomerase', 'IPMI', 'Isopropylmalate isomerase']",Heterodimer of LeuC and LeuD.,"['leuD', 'b0071', 'JW0070']"
727,P33590,['Nickel-binding periplasmic protein'],Heterodimer of LeuC and LeuD.,"['nikA', 'b3476', 'JW3441']"
728,P63228,"['D-glycero-beta-D-manno-heptose-1,7-bisphosphate 7-phosphatase']",Monomer.,"['gmhB', 'yaeD', 'b0200', 'JW0196']"
729,P0AFA9,['Nickel transport system permease protein NikC'],Probably forms a heterodimeric pore with NikB.,"['nikC', 'b3478', 'JW3443']"
730,P0A6A6,"['3-isopropylmalate dehydratase large subunit', 'Alpha-IPM isomerase', 'IPMI', 'Isopropylmalate isomerase']",Heterodimer of LeuC and LeuD.,"['leuC', 'b0072', 'JW0071']"
731,P33593,['Nickel import ATP-binding protein NikD'],"The complex is composed of two ATP-binding proteins (NikD and NikE), two transmembrane proteins (NikB and NikC) and a solute-binding protein (NikA).","['nikD', 'b3479', 'JW3444']"
732,P09151,"['2-isopropylmalate synthase', 'Alpha-IPM synthase', 'Alpha-isopropylmalate synthase']",Homodimer.,"['leuA', 'b0074', 'JW0073']"
733,P04951,['3-deoxy-manno-octulosonate cytidylyltransferase'],Homodimer.,"['kdsB', 'b0918', 'JW0901']"
734,P04079,"['GMP synthase [glutamine-hydrolyzing]', 'GMP synthetase', 'GMPS', 'Glutamine amidotransferase']",Homodimer.,"['guaA', 'b2507', 'JW2491']"
735,A0A140N5J7,['3-deoxy-D-manno-octulosonate 8-phosphate phosphatase KdsC'],Homotetramer.,"['kdsC', 'ECBD_0544']"
736,P00350,"['6-phosphogluconate dehydrogenase, decarboxylating']",Homodimer.,"['gnd', 'b2029', 'JW2011']"
737,P0A715,"['2-dehydro-3-deoxyphosphooctonate aldolase', '3-deoxy-D-manno-octulosonic acid 8-phosphate synthase', 'KDO-8-phosphate synthase']",Homotrimer.,"['kdsA', 'b1215', 'JW1206']"
738,P37678,"['3-keto-L-gulonate-6-phosphate decarboxylase SgbH', 'KGPDC']",Homodimer.,"['sgbH', 'yiaQ', 'b3581', 'JW3553']"
739,P39304,"['3-keto-L-gulonate-6-phosphate decarboxylase UlaD', '3-dehydro-L-gulonate-6-phosphate decarboxylase', 'KGPDC', 'L-ascorbate utilization protein D']",Homodimer.,"['ulaD', 'sgaH', 'yjfV', 'b4196', 'JW4154']"
740,P27278,['Trifunctional NAD biosynthesis/regulator protein NadR'],Homotetramer.,"['nadR', 'nadI', 'b4390', 'JW5800']"
741,P0A752,"['Nicotinate-nucleotide adenylyltransferase', 'Deamido-NAD(+) diphosphorylase', 'Deamido-NAD(+) pyrophosphorylase', 'Nicotinate mononucleotide adenylyltransferase', 'NaMN adenylyltransferase']",Homotetramer.,"['nadD', 'ybeN', 'b0639', 'JW0634']"
742,P46859,['Thermoresistant gluconokinase'],Homotetramer.,"['gntK', 'b3437', 'JW3400']"
743,P0AFK2,['Nicotinamide riboside transporter PnuC'],Homotetramer.,"['pnuC', 'b0751', 'JW0734']"
744,P03961,"['Potassium-transporting ATPase KdpC subunit', 'ATP phosphohydrolase [potassium-transporting] C chain', 'Potassium-binding and translocating subunit C', 'Potassium-translocating ATPase C chain']","The system is composed of three essential subunits: KdpA, KdpB and KdpC (PubMed:2849541, PubMed:28636601, PubMed:30478378, PubMed:9858692). The complex also contains KdpF, a small non-essential subunit (PubMed:10608856, PubMed:28636601, PubMed:30478378). The KdpFABC complex exists as a dimer above concentrations of 30-50 nM, whereas the complex exists as a functional monomer at lower concentrations (PubMed:18298081).","['kdpC', 'b0696', 'JW0684']"
745,P39208,['Thermosensitive gluconokinase'],"The system is composed of three essential subunits: KdpA, KdpB and KdpC (PubMed:2849541, PubMed:28636601, PubMed:30478378, PubMed:9858692). The complex also contains KdpF, a small non-essential subunit (PubMed:10608856, PubMed:28636601, PubMed:30478378). The KdpFABC complex exists as a dimer above concentrations of 30-50 nM, whereas the complex exists as a functional monomer at lower concentrations (PubMed:18298081).","['idnK', 'gntV', 'b4268', 'JW4225']"
746,P21369,"['Nicotinamidase', 'Nicotinamide deamidase', 'NAMase', 'Pyrazinamidase', 'PZAase']","The system is composed of three essential subunits: KdpA, KdpB and KdpC (PubMed:2849541, PubMed:28636601, PubMed:30478378, PubMed:9858692). The complex also contains KdpF, a small non-essential subunit (PubMed:10608856, PubMed:28636601, PubMed:30478378). The KdpFABC complex exists as a dimer above concentrations of 30-50 nM, whereas the complex exists as a functional monomer at lower concentrations (PubMed:18298081).","['pncA', 'nam', 'ydjB', 'b1768', 'JW1757']"
747,P10908,"['Glycerophosphodiester phosphodiesterase, cytoplasmic', 'Glycerophosphoryl diester phosphodiesterase, cytoplasmic']","The system is composed of three essential subunits: KdpA, KdpB and KdpC (PubMed:2849541, PubMed:28636601, PubMed:30478378, PubMed:9858692). The complex also contains KdpF, a small non-essential subunit (PubMed:10608856, PubMed:28636601, PubMed:30478378). The KdpFABC complex exists as a dimer above concentrations of 30-50 nM, whereas the complex exists as a functional monomer at lower concentrations (PubMed:18298081).","['ugpQ', 'b3449', 'JW3414']"
748,P36562,"['Nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase', 'NN:DBI PRT']",Homodimer.,"['cobT', 'b1991', 'JW1969']"
749,P09394,"['Glycerophosphodiester phosphodiesterase, periplasmic', 'Glycerophosphoryl diester phosphodiesterase, periplasmic']",Homodimer.,"['glpQ', 'b2239', 'JW2233']"
750,P03959,"['Potassium-transporting ATPase potassium-binding subunit', 'ATP phosphohydrolase [potassium-transporting] A chain', 'Potassium-binding and translocating subunit A', 'Potassium-translocating ATPase A chain']","The system is composed of three essential subunits: KdpA, KdpB and KdpC (PubMed:2849541, PubMed:28636601, PubMed:30478378, PubMed:9858692). The complex also contains KdpF, a small non-essential subunit (PubMed:10608856, PubMed:28636601, PubMed:30478378). The KdpFABC complex exists as a dimer above concentrations of 30-50 nM, whereas the complex exists as a functional monomer at lower concentrations (PubMed:18298081).","['kdpA', 'b0698', 'JW0686']"
751,P0AC69,"['Glutaredoxin 4', 'Grx4']",Homodimer.,"['grxD', 'ydhD', 'b1654', 'JW1646']"
752,P03960,"['Potassium-transporting ATPase ATP-binding subunit', 'ATP phosphohydrolase [potassium-transporting] B chain', 'Potassium-binding and translocating subunit B', 'Potassium-translocating ATPase B chain']","The system is composed of three essential subunits: KdpA, KdpB and KdpC (PubMed:2849541, PubMed:28636601, PubMed:30478378, PubMed:9858692). The complex also contains KdpF, a small non-essential subunit (PubMed:10608856, PubMed:28636601, PubMed:30478378). The KdpFABC complex exists as a dimer above concentrations of 30-50 nM, whereas the complex exists as a functional monomer at lower concentrations (PubMed:18298081).","['kdpB', 'b0697', 'JW0685']"
753,P30011,['Nicotinate-nucleotide pyrophosphorylase [carboxylating]'],Homodimer Hexamer formed by 3 homodimers (By similarity). Homodimer.,"['nadC', 'b0109', 'JW0105']"
754,P0AC62,"['Glutaredoxin 3', 'Grx3']",Monomer.,"['grxC', 'yibM', 'b3610', 'JW3585']"
755,P68688,"['Glutaredoxin 1', 'Grx1']",Monomer.,"['grxA', 'grx', 'b0849', 'JW0833']"
756,P10903,"['Nitrate/nitrite antiporter NarK', 'Nitrate/nitrite exchanger', 'Nitrite extrusion protein 1', 'Nitrite facilitator 1']",Monomer.,"['narK', 'b1223', 'JW1214']"
757,P23849,['Trk system potassium uptake protein TrkG'],Monomer.,"['trkG', 'b1363', 'JW1358']"
758,P0AEW6,['Guanosine-inosine kinase'],Homodimer.,"['gsk', 'b0477', 'JW0466']"
759,P0AC26,[],Homodimer.,[]
760,P0AES0,"['Bifunctional glutathionylspermidine synthetase/amidase', 'GspSA']",Homodimer.,"['gss', 'gsp', 'b2988', 'JW2956']"
761,P06715,['Glutathione reductase'],Homodimer.,"['gor', 'b3500', 'JW3467']"
762,P06610,['Thioredoxin/glutathione peroxidase BtuE'],Homodimer.,"['btuE', 'b1710', 'JW1700']"
763,P0AAL3,['Ferredoxin-type protein NapG'],Homodimer.,"['napG', 'yojA', 'yojB', 'b2205', 'JW2193']"
764,P63183,['Low affinity potassium transport system protein Kup'],Homodimer.,"['kup', 'trkD', 'b3747', 'JW5609']"
765,P18956,['Glutathione hydrolase proenzyme'],"This enzyme consists of two polypeptide chains, which are synthesized in precursor form from a single polypeptide.","['ggt', 'b3447', 'JW3412']"
766,P0AFZ7,['Trk system potassium uptake protein TrkH'],"This enzyme consists of two polypeptide chains, which are synthesized in precursor form from a single polypeptide.","['trkH', 'b3849', 'JW5576']"
767,P31069,['Voltage-gated potassium channel Kch'],Dimer.,"['kch', 'b1250', 'JW1242']"
768,P0ABL5,['Cytochrome c-type protein NapC'],Dimer.,"['napC', 'yejX', 'b2202', 'JW2190']"
769,P0ABL3,"['Periplasmic nitrate reductase, electron transfer subunit']",Component of the periplasmic nitrate reductase NapAB complex composed of NapA and NapB. The interaction between NapA and NapB is weak.,"['napB', 'yejY', 'b2203', 'JW5367']"
770,P75798,['Glutathione transport system permease protein GsiC'],"The complex is composed of two ATP-binding proteins (GsiA), two transmembrane proteins (GsiC and GsiD) and a solute-binding protein (GsiB) (Probable). In the presence of glutathione, interacts with the glutathione-binding protein GsiB (PubMed:30515393).","['gsiC', 'yliC', 'b0831', 'JW0815']"
771,P33934,['Ferredoxin-type protein NapH'],Interacts with NapC.,"['napH', 'yejZ', 'b2204', 'JW2192']"
772,P0AAH4,['Putrescine export system ATP-binding protein SapD'],Interacts with NapC.,"['sapD', 'trkE', 'b1291', 'JW1284']"
773,P75796,['Glutathione import ATP-binding protein GsiA'],"The complex is composed of two ATP-binding proteins (GsiA), two transmembrane proteins (GsiC and GsiD) and a solute-binding protein (GsiB).","['gsiA', 'yliA', 'b0829', 'JW5897']"
774,P0AEY8,['Multidrug transporter MdfA'],Monomer.,"['mdfA', 'cmlA', 'cmr', 'b0842', 'JW0826']"
775,P0AE22,"['Class B acid phosphatase', 'CBAP']",Homotetramer.,"['aphA', 'napA', 'yjbP', 'b4055', 'JW4015']"
776,P75799,['Glutathione transport system permease protein GsiD'],"The complex is composed of two ATP-binding proteins (GsiA), two transmembrane proteins (GsiC and GsiD) and a solute-binding protein (GsiB) (Probable). In the presence of glutathione, interacts with the glutathione-binding protein GsiB (PubMed:30515393).","['gsiD', 'yliD', 'b0832', 'JW0816']"
777,P19318,['Respiratory nitrate reductase 2 beta chain'],"Dimer of heterotrimers each composed of an alpha, a beta and a gamma chain. Alpha and beta are catalytic chains; gamma chains are involved in binding the enzyme complex to the cytoplasmic membrane.","['narY', 'b1467', 'JW1462']"
778,P0AF26,['Nitrate reductase molybdenum cofactor assembly chaperone NarJ'],"Binds specifically to the NarG subunit of the apoenzyme complex at two distinct sites, one interfering with membrane anchoring and another being involved in molybdenum insertion.","['narJ', 'b1226', 'JW1217']"
779,P03819,['Glutathione-regulated potassium-efflux system protein KefC'],"Homodimer. Interacts with the regulatory subunit KefF, forming a heterotetramer with 2:2 stoichiometry. Interaction with KefF is required for optimal activity. The active antiporter may be formed by the heterotetramer, or by an octamer.","['kefC', 'trkC', 'b0047', 'JW0046']"
780,P04425,"['Glutathione synthetase', 'GSH synthetase']",Homotetramer.,"['gshB', 'gsh-II', 'b2947', 'JW2914']"
781,P19317,['Probable nitrate reductase molybdenum cofactor assembly chaperone NarW'],Homotetramer.,"['narW', 'b1466', 'JW1461']"
