metname,inchikey
malt,GUBGYTABKSRVRQ-PICCSMPSSA-N
12ppd__R,DNIAPMSPPWPWGF-GSVOUGTGSA-N
hkndd,RFENOVFRMPRRJI-AFCKVHGPSA-L
pg160,BIABMEZBCHDPBV-MPQUPPDSSA-M
pg181,NA
sufbcd_2fe2s,NA
urcan,LOIYMIARKYCTBW-OWOJBTEDSA-M
ps161,NA
ttdcea,NA
pgp160,ONJBJMDJKLHMEK-MPQUPPDSSA-K
protrna,NA
23dhmp,PDGXJDXVGMHUIR-UJURSFKZSA-M
feroxE,MZFKJKOHYACYNT-UHFFFAOYSA-N
chit6p,KYKNQNQCPWDNAK-CBTAGEKQSA-L
dxyl5p,AJPADPZSRRUGHI-RFZPGFLSSA-L
grxrd,NA
5drib,WDRISBUVHBMJEF-MROZADKFSA-N
pe161,NA
feroxG,NA
cinnm,WBYWAXJHAXSJNI-VOTSOKGWSA-M
fmnh2,YTNIXZGTHTVJBW-SCRDCRAPSA-L
sufsesh,NA
3hhexACP,NA
hdcap,NA
23cgmp,UASRYODFRYWBRC-UUOKFMHZSA-M
f6p,BGWGXPAPYGQALX-ARQDHWQXSA-L
iasp,NMUOATVLLQEYHI-UHFFFAOYSA-M
3otdcoa,IQNFBGHLIVBNOU-QSGBVPJFSA-J
xu5p__D,FNZLKVNUWIIPSJ-RFZPGFLSSA-L
grdp,GVVPGTZRZFNKDS-JXMROGBWSA-K
methf,MEANFMOQMXYMCT-OLZOCXBDSA-M
murein4p4p,VTZDBMVDVOTCFD-UHFFFAOYSA-G
tagdp__D,RNBGYGVWRKECFJ-OEXCPVAWSA-J
cdpdddecg,NA
2ddglcn,WPAMZTWLKIDIOP-WVZVXSGGSA-M
pphn,FPWMCUPFBRFMLH-XGAOUMNUSA-L
2omph,MYNOBJRQIKYBRD-MGHGRUFNSA-N
glucys,RITKHVBHSGLULN-WHFBIAKZSA-M
aconm,BRYKYSQCLNCYQW-DUXPYHPUSA-L
odecoa,NA
1hdecg3p,NA
suc6p,PJTTXANTBQDXME-UGDNZRGBSA-L
dnad,SENPVEZBRZQVST-HISDBWNOSA-L
2hdecg3p,NA
acglu,RFMMMVDNIPUKGG-YFKPBYRVSA-L
dhmpt,NA
tre,HDTRYLNUVZCQOY-LIZSDCNHSA-N
preq1,MEYMBLGOKYDGLZ-UHFFFAOYSA-O
g3pg,LLCSXHMJULHSJN-UHFFFAOYSA-M
rdmbzi,HLRUKOJSWOKCPP-SYQHCUMBSA-N
sertrna,NA
hco3,BVKZGUZCCUSVTD-UHFFFAOYSA-M
23dhba,ULPVJDOMCRTJSN-RVXWVPLUSA-M
glyc2p,DHCLVCXQIBBOPH-UHFFFAOYSA-L
manglyc,DDXCFDOPXBPUJC-SAYMMRJXSA-M
4per,ZCZXOHUILRHRQJ-PWNYCUMCSA-K
bglycogen,NA
histd,ZQISRDCJNBUVMM-YFKPBYRVSA-O
pydx,RADKZDMFGJYCBB-UHFFFAOYSA-N
4abut,BTCSSZJGUNDROE-UHFFFAOYSA-N
crncoa,BBRISSLDTUHWKG-PVMHLSDZSA-K
tagur,IZSRJDGCGRAUAR-WDCZJNDASA-M
crn__D,PHIQHXFUZVPYII-LURJTMIESA-N
gslnt,NA
cbl1,OMAOKVYASDIYQG-DSRCUDDDSA-L
xylu__L,ZAQJHHRNXZUBTE-WVZVXSGGSA-N
trp__L,QIVBCDIJIAJPQS-VIFPVBQESA-N
ser__L,MTCFGRXMJLQNBG-REOHCLBHSA-N
rfamp,JQXXHWHPUNPDRT-WLSIYKJHSA-N
1agpg160,BVJSKAUUFXBDOB-LEWJYISDSA-M
2agpg160,ODJYINYQGFIIRK-UHFFFAOYSA-M
udpLa4fn,QGYFHZBDXXNYAX-RTXATJJPSA-L
2agpe181,NA
iscssh,NA
clpn180,NA
inost,CDAISMWEOUEBRE-GPIVLXJGSA-N
imp,GRSZFWQUAKGDAV-KQYNXXCUSA-L
o16aund,NYDKXESIKHJNQU-FIYHCCFRSA-L
3oxdhscoa,IFFFDKYRRUVOFP-HURBHMQQSA-I
dtdp4addg,UIVJXHWSIFBBCY-WDQPOOCWSA-M
abt__D,HEBKCHPVOIAQTA-QWWZWVQMSA-N
met__D,FFEARJCKVFRZRR-SCSAIBSYSA-N
3hddcoa,IJFLXRCJWPKGKJ-LXIXEQKWSA-J
clpn120,NA
thf,MSTNYGQPCMXVAQ-RYUDHWBXSA-L
leutrna,NA
cmp,IERHLVCPSMICTF-XVFCMESISA-L
trdrd,NA
6apa,NGHVIOIJCVXTGV-ALEPSDHESA-N
cys__D,XUJNEKJLAYXESH-UWTATZPHSA-N
dsbdox,NA
tym,DZGWFCGJZKJUFP-UHFFFAOYSA-O
mobd,MEFBJEMVZONFCJ-UHFFFAOYSA-N
dtmp,GYOZYWVXFNDGLU-XLPZGREQSA-L
1agpe181,NA
cynt,XLJMAIOERFSOGZ-UHFFFAOYSA-M
glu__D,WHUUTDBJXJRKMK-GSVOUGTGSA-M
cobalt2,XLJKHNWPARRRJB-UHFFFAOYSA-N
4adcho,OIUJHGOLFKDBSU-HTQZYQBOSA-M
clpn181,HSSSADMXQPKIEB-GXYAQEMJSA-L
1agpg140,LUTDZDAPSDZVAL-RBUKOAKNSA-M
td2coa,MBCVYCOKMMMWLX-YYMFEJJQSA-J
pppn,XMIIGOLPHOKFCH-UHFFFAOYSA-M
3htdcoa,OXBHKMHNDGRDCZ-STLSENOWSA-J
prlp,BLKFNHOCHNCLII-GHVQHMAVSA-J
34hpp,KKADPXVIOXHVKN-UHFFFAOYSA-M
acgam6p,BRGMHAYQAZFZDJ-RTRLPJTCSA-L
crnDcoa,BBRISSLDTUHWKG-ZORKKWTOSA-K
fruur,PTCIWUZVDIQTOW-XDJBDKDSSA-M
dsbaox,NA
uacgam,LFTYTUAZOPRMMI-CFRASDGPSA-L
asn__L,DCXYFEDJOCDNAF-REOHCLBHSA-N
ctbtcoa,WAUPBDVHJXXZGW-HXPULJKESA-K
g3pi,BMVUIWJCUQSHLZ-UJGXJMNGSA-M
ttdcap,NA
4fe4s,LJBDFODJNLIPKO-UHFFFAOYSA-N
cdpdhdecg,NA
ptrc,KIDHWZJUCRJVML-UHFFFAOYSA-P
colipa20Oag,NA
cellb,GUBGYTABKSRVRQ-QRZGKKJRSA-N
hdd2coa,JUPAQFRKPHPXLD-MSHHSVQMSA-J
LalaDglu,VYZAGTDAHUIRQA-CRCLSJGQSA-M
t3c9palmeACP,NA
25aics,NAQGHJTUZRHGAC-ZZZDFHIKSA-J
dca,NA
glu__L,WHUUTDBJXJRKMK-VKHMYHEASA-M
4abutn,DZQLQEYLEYWJIB-UHFFFAOYSA-O
tungs,PBYZMCDFOULPGH-UHFFFAOYSA-N
acg5sa,BCPSFKBPHHBDAI-LURJTMIESA-M
hdceap,NA
5aptn,JJMDCOVWQOJGCB-UHFFFAOYSA-N
dump,JSRLJPSBLDHEIO-SHYZEUOFSA-L
iletrna,NA
indpyr,RSTKLPZEZYGQPY-UHFFFAOYSA-M
hlipa,HPDZKCJEWNZSML-YOZKHJKSSA-H
sufse,NA
6hmhpt,CQQNNQTXUGLUEV-UHFFFAOYSA-N
12dgr181,NA
ppi,XPPKVPWEQAFLFU-UHFFFAOYSA-K
3cmp,UOOOPKANIPLQPU-XVFCMESISA-L
ump,DJJCXFVJDGTHFX-XVFCMESISA-L
dhf,OZRNSSUDZOLUSN-LBPRGKRZSA-L
rbt,HEBKCHPVOIAQTA-ZXFHETKHSA-N
etoh,LFQSCWFLJHTTHZ-UHFFFAOYSA-N
pmtcoa,MNBKLUUYKPBKDU-BBECNAHFSA-J
msa,OAKURXIZZOAYBC-UHFFFAOYSA-M
1pyr5c,DWAKNKKXGALPNW-UHFFFAOYSA-M
appl,HXKKHQJGJAFBHI-GSVOUGTGSA-O
pro__L,ONIBWKKTOPOVIA-BYPYZUCNSA-N
octa,WWZKQHOCKIZLMA-UHFFFAOYSA-M
pa160,PORPENFLTBBHSG-MGBGTMOVSA-L
ocdceap,NA
uracp,AJFKXWQDHFYKFK-UPHRSURJSA-N
5mthf,ZNOVTXRBGFNYRX-STQMWFEESA-L
lyx__L,SRBFZHDQGSBBOR-AEQNFAKKSA-N
4abz,ALYNCZNDIQEVRV-UHFFFAOYSA-M
lipoate,AGBQKNBQESQNJD-SSDOTTSWSA-M
flxr,NA
murein5p5p,WSONNHVKPYOZEY-UHFFFAOYSA-E
btd_RR,NA
co2,CURLTUGMZLYLDI-UHFFFAOYSA-N
2omhmbl,QURLIMHPCRKMJP-WDXILIIOSA-N
trnatrp,NA
ribflv,AUNGANRZJHBGPY-SCRDCRAPSA-M
acgam1p,FZLJPEPAYPUMMR-RTRLPJTCSA-L
2agpg120,NA
cdpdtdec7eg,VDJIEKQUDMPHPA-WNAWUNHNSA-L
tet,HPQYKCJIWQFJMS-UHFFFAOYSA-L
pran,PMFMJXPRNJUYMB-GWOFURMSSA-K
3ohexACP,NA
hmgth,PIUSLWSYOYFRFR-BQBZGAKWSA-M
lipidA,KVJWZTLXIROHIL-QDORLFPLSA-J
mso3,AFVFQIVMOAPDHO-UHFFFAOYSA-M
anhm,NA
dad_2,OLXZPDWKRNYJJZ-RRKCRQDMSA-N
gicolipa,JIYBFSMTJJSDHN-XHEUBBKESA-C
pydxn,LXNHXLLTXMVWPM-UHFFFAOYSA-N
LalaDgluMdapDala,BAPAFFOXTCMVCC-UHFFFAOYSA-M
trptrna,NA
pg141,NA
5aizc,XFVULMDJZXYMSG-ZIYNGMLESA-L
seramp,UVSYURUCZPPUQD-MACXSXHHSA-M
gggagicolipa,DJHBKVISRABJNG-HEIPHTFDSA-C
3hoxpac,FVMDYYGIDFPZAX-UHFFFAOYSA-M
cpe160,DTFRUHREBAYLCS-UHFFFAOYSA-M
fe3,VTLYFUHAOXGGBS-UHFFFAOYSA-N
chol,OEYIOHPDSNJKLS-UHFFFAOYSA-N
murein4px4p,NA
pac,WLJVXDMOQOGPHL-UHFFFAOYSA-M
2me4p,XMWHRVNVKDKBRG-UHNVWZDZSA-L
dhptdn,KVDQMARGGBLIJM-UHFFFAOYSA-N
bbtcoa,QAMRRBGWSPTAEJ-SVHODSNWSA-K
thmpp,AYEKOFBPNLCAJY-UHFFFAOYSA-L
fum,VZCYOOQTPOCHFL-OWOJBTEDSA-L
glcr,DSLZVSRJTYRBFB-LLEIAEIESA-L
unagamuf,PSONHUYFSWYIME-RZVIFHIQSA-K
dhna,VOJUXHHACRXLTD-UHFFFAOYSA-M
25dkglcn,RXMWXENJQAINCC-DMTCNVIQSA-M
12dgr161,NA
iscu_4fe4s,NA
btcoa,CRFNGMNYKDXRTN-CITAKDKDSA-J
1agpe180,BBYWOYAFBUOUFP-JOCHJYFZSA-N
mal__L,BJEPYKJPYRNKOW-REOHCLBHSA-L
gmp,RQFCJASXJCIDSX-UUOKFMHZSA-L
ipdp,NUHSROFQTUXZQQ-UHFFFAOYSA-K
udcpp,UFPHFKCTOZIAFY-RDQGWRCRSA-L
trnaglu,NA
aragund,WYHMIVUCEAXZMZ-LRILUZMESA-L
cpg160,OBXHKDVMOWISFV-UHFFFAOYSA-M
phthr,FKHAKIJOKDGEII-GBXIJSLDSA-L
3hcmrs7eACP,NA
didp,BKUSIKGSPSFQAC-RRKCRQDMSA-K
2agpg180,ZYKIFISVQNGKFE-UHFFFAOYSA-M
but,NA
acg5p,FCVIHFVSXHOPSW-YFKPBYRVSA-K
fe3dcit,NA
asptrna,NA
toct2eACP,NA
mercppyr,OJOLFAIGOXZBCI-UHFFFAOYSA-M
g3p,LXJXRIRHZLFYRP-VKHMYHEASA-L
dcyt,CKTSBUTUHBMZGZ-SHYZEUOFSA-N
5dh4dglc,QUURPCHWPQNNGL-ZAFYKAAXSA-L
cdp,ZWIADYZPOWUWEW-XVFCMESISA-K
tyrtrna,NA
galam,NA
novbcn,YJQPYGGHQPGBLI-KGSXXDOSSA-M
s7p,JDTUMPKOJBQPKX-GBNDHIKLSA-L
3haACP,NA
3oocoa,WPIVBCGRGVNDDT-CECATXLMSA-J
pydx5p,NGVDGCNFYWLIFO-UHFFFAOYSA-L
cdg,XIUIRSLBMMTDSK-UHFFFAOYSA-M
thptdn,IDAICLIJTRXNER-UHFFFAOYSA-N
dtdp4d6dm,PSXWNITXWWECNY-LPVGZGSHSA-L
pimACP,NA
rbl__D,ZAQJHHRNXZUBTE-NQXXGFSBSA-N
dttp,NHVNXKFIZYSCEB-XLPZGREQSA-J
gal1p,HXXFSFRBOHSIMQ-FPRJBGLDSA-L
2ameph,QQVDJLLNRSOCEL-UHFFFAOYSA-N
scys__L,NOKPBJYHPHHWAN-REOHCLBHSA-M
feroxB,NA
6hmhptpp,FCQGJGLSOWZZON-UHFFFAOYSA-K
dhor__S,UFIVEPVSAGBUSI-REOHCLBHSA-M
hemeO,FISPASSVCDRERW-ARQJTVBPSA-J
3ump,FOGRQMPFHUHIGU-XVFCMESISA-L
r5p,KTVPXOYAKDPRHY-AIHAYLRMSA-L
butACP,NA
2agpe120,NPAZKTOOMVQLIH-UHFFFAOYSA-N
acanth,QSACCXVHEVWNMX-UHFFFAOYSA-M
1ddecg3p,STTKJLVEXMKLNA-CQSZACIVSA-L
wco,NA
1agpg161,NA
gtspmd,NEDQLXHBVHSKNV-STQMWFEESA-P
gdp,QGWNDRXFNXRZMB-UUOKFMHZSA-K
galur,AEMOLEFTQBMNLQ-YMDCURPLSA-M
ocdca,QIQXTHQIDYTFRH-UHFFFAOYSA-M
man1p,HXXFSFRBOHSIMQ-RWOPYEJCSA-L
1agpg181,FQQQKGAFQIIGLQ-SNZQZGEVSA-M
udcpdp,NTXGVHCCXVHYCL-RDQGWRCRSA-K
sbt6p,GACTWZZMVMUKNG-SLPGGIOYSA-L
pram,SKCBPEVYGOQGJN-TXICZTDVSA-M
malt6p,ITPHOIFCAFNCLL-ASMJPISFSA-L
galt,FBPFZTCFMRRESA-GUCUJZIJSA-N
23dhb,GLDQAMYCGOIJDV-UHFFFAOYSA-M
3hcddec5eACP,NA
mi1p__D,INAPMGSXUVUWAF-UOTPTPDRSA-L
3ocvac11eACP,NA
murein3px4p,LOVDDQLBOGPFKC-UHFFFAOYSA-H
2fe1s,NA
enlipidA_LptA,NA
apg140,HLSZVIULNVUBQI-YWPUXERESA-M
dutp,AHCYMLUZIRLXAA-SHYZEUOFSA-J
gp4g,OLGWXCQXRSSQPO-MHARETSRSA-J
kdo2lipid4L,JVUUYJGQIVCMIU-ZODGSCPMSA-H
uacmam,LFTYTUAZOPRMMI-ZYQOOJPVSA-L
trnaser,NA
urate,LEHOTFFKMJEONL-UHFFFAOYSA-N
2agpe140,DDUZNLUWXLYPCP-UHFFFAOYSA-N
bmoco1gdp,NA
metsox_R__L,QEFRNWWLZKMPFJ-ZXPFJRLXSA-N
glytrna,NA
ps180,TZCPCKNHXULUIY-RGULYWFUSA-M
hxcoa,NA
3hodcoa,WZMAIEGYXCOYSH-SFKGBVSGSA-J
nad,BAWFJGJZGIEFAR-NNYOXOHSSA-M
tcb,KQTIIICEAUMSDG-UHFFFAOYSA-K
preq0,FMKSMYDYKXQYRV-UHFFFAOYSA-N
dgdp,CIKGWCTVFSRMJU-KVQBGUIXSA-K
alltn,POJWUDADGALRAB-UHFFFAOYSA-N
sl2a6o,SDVXSCSNVVZWDD-LURJTMIESA-K
4hoxpac,XQXPVVBIMDBYFF-UHFFFAOYSA-M
dmbzid,LJUQGASMPRMWIW-UHFFFAOYSA-N
g3pc,SUHOQUVVVLNYQR-MRVPVSSYSA-N
ppa,NA
dsbcox,NA
rhcys,IQFWYNFDWRYSRA-BLELIYKESA-N
glu5p,PJRXVIJAERNUIP-VKHMYHEASA-L
udp,XCCTYIAWTASOJW-XVFCMESISA-K
malthp,ZHZITDGOAFCURV-VVTKTIMZSA-N
udpgalfur,ZQLQOXLUCGXKHS-SIAUPFDVSA-L
2agpe161,NA
