reac,reaction,ec_number
EX_zn2,zn2_e --> ,NA
12DGR120tipp,12dgr120_p --> 12dgr120_c,NA
EX_pheme,pheme_e --> ,NA
EX_pi,pi_e --> ,NA
EX_pnto__R,pnto__R_e --> ,NA
EX_ppa,ppa_e --> ,NA
12DGR140tipp,12dgr140_p --> 12dgr140_c,NA
12DGR141tipp,12dgr141_p --> 12dgr141_c,NA
12DGR160tipp,12dgr160_p --> 12dgr160_c,NA
EX_ppal,ppal_e --> ,NA
EX_3hpppn,3hpppn_e --> ,NA
EX_pppn,pppn_e --> ,NA
EX_ppt,ppt_e --> ,NA
EX_pro__L,pro__L_e --> ,NA
12DGR161tipp,12dgr161_p --> 12dgr161_c,NA
12DGR180tipp,12dgr180_p --> 12dgr180_c,NA
12DGR181tipp,12dgr181_p --> 12dgr181_c,NA
12PPDRtex_num1,12ppd__R_e --> 12ppd__R_p,NA
12PPDRtpp,12ppd__R_p --> 12ppd__R_c,NA
12PPDStex_num1,12ppd__S_e --> 12ppd__S_p,NA
EX_progly,progly_e --> ,NA
EX_psclys,psclys_e --> ,NA
EX_pser__L,pser__L_e --> ,NA
12PPDStpp,12ppd__S_p --> 12ppd__S_c,NA
14GLUCANabcpp,14glucan_p + atp_c + h2o_c --> 14glucan_c + adp_c + h_c + pi_c,NA
EX_ptrc,ptrc_e --> ,NA
EX_pydam,pydam_e --> ,NA
14GLUCANtexi,14glucan_e --> 14glucan_p,2.4.1.161
23CAMPtex_num1,23camp_e --> 23camp_p,NA
EX_pydx,pydx_e --> ,NA
EX_3ump,3ump_e --> ,NA
EX_pydxn,pydxn_e --> ,NA
EX_pyr,pyr_e --> ,NA
EX_quin,quin_e --> ,NA
EX_r5p,r5p_e --> ,NA
EX_rfamp,rfamp_e --> ,NA
23CCMPtex_num1,23ccmp_e --> 23ccmp_p,NA
23CGMPtex_num1,23cgmp_e --> 23cgmp_p,NA
23CUMPtex_num1,23cump_e --> 23cump_p,NA
23DAPPAt2pp,23dappa_p + h_p --> 23dappa_c + h_c,NA
EX_rib__D,rib__D_e --> ,NA
23DAPPAtex_num1,23dappa_e --> 23dappa_p,NA
EX_rmn,rmn_e --> ,NA
23PDE2pp,23cump_p + h2o_p --> 3ump_p + h_p,3.1.4.16
EX_4abut,4abut_e --> ,NA
23PDE4pp,23ccmp_p + h2o_p --> 3cmp_p + h_p,3.1.4.16
23PDE7pp,23camp_p + h2o_p --> 3amp_p + h_p,3.1.4.16
EX_sbt__D,sbt__D_e --> ,NA
EX_sel,sel_e --> ,NA
EX_ser__D,ser__D_e --> ,NA
23PDE9pp,23cgmp_p + h2o_p --> 3gmp_p + h_p,3.1.4.16
26DAHtex_num1,26dap__M_e --> 26dap__M_p,NA
EX_4hoxpacd,4hoxpacd_e --> ,NA
2AGPA120tipp,2ddecg3p_p --> 2ddecg3p_c,NA
2AGPA140tipp,2tdecg3p_p --> 2tdecg3p_c,NA
EX_ser__L,ser__L_e --> ,NA
EX_skm,skm_e --> ,NA
EX_slnt,slnt_e --> ,NA
EX_so2,so2_e --> ,NA
EX_so3,so3_e --> ,NA
2AGPA141tipp,2tdec7eg3p_p --> 2tdec7eg3p_c,NA
2AGPA160tipp,2hdecg3p_p --> 2hdecg3p_c,NA
2AGPA161tipp,2hdec9eg3p_p --> 2hdec9eg3p_c,NA
2AGPA180tipp,2odecg3p_p --> 2odecg3p_c,NA
2AGPA181tipp,2odec11eg3p_p --> 2odec11eg3p_c,NA
EX_so4,so4_e --> ,NA
EX_spmd,spmd_e --> ,NA
EX_succ,succ_e --> ,NA
EX_sucr,sucr_e --> ,NA
EX_sulfac,sulfac_e --> ,NA
2AGPE120tipp,2agpe120_p --> 2agpe120_c,NA
2AGPE140tipp,2agpe140_p --> 2agpe140_c,NA
EX_tartr__D,tartr__D_e --> ,NA
2AGPE141tipp,2agpe141_p --> 2agpe141_c,NA
EX_5dglcn,5dglcn_e --> ,NA
EX_tartr__L,tartr__L_e --> ,NA
EX_taur,taur_e --> ,NA
EX_tcynt,tcynt_e --> ,NA
