reac,reaction,ec_number
MLTGY4pp_num4,murein4px4p4p_p --> anhgm4p_p + murein4px4p_p,NA
MLTGY4pp_num5,murein4px4p4p_p --> anhgm4p_p + murein4px4p_p,NA
MLTGY4pp_num6,murein4px4p4p_p --> anhgm4p_p + murein4px4p_p,NA
NTD9pp_num2,gmp_p + h2o_p --> gsn_p + pi_p,3.1.3.5
NTP1_num2,atp_c + h2o_c --> adp_c + h_c + pi_c,3.6.1.15
NTP10_num2,h2o_c + itp_c --> h_c + idp_c + pi_c,3.6.1
NTD11pp_num2,h2o_p + imp_p --> ins_p + pi_p,3.1.3.5
NTD12_num2,dimp_c + h2o_c --> din_c + pi_c,NA
NTD12pp_num2,dimp_p + h2o_p --> din_p + pi_p,NA
NTD1pp_num2,dump_p + h2o_p --> duri_p + pi_p,3.1.3.5
NTD2_num2,h2o_c + ump_c --> pi_c + uri_c,3.1.3.5
NTD2pp_num2,h2o_p + ump_p --> pi_p + uri_p,3.1.3.5
O2tex_num2,o2_e --> o2_p,NA
O2tex_num3,o2_e --> o2_p,NA
O2tex_num4,o2_e --> o2_p,NA
NTPP1_num2,dgtp_c + h2o_c --> dgmp_c + h_c + ppi_c,3.6.1.-
OBTFL_num2,2obut_c + coa_c --> for_c + ppcoa_c,2.3.1
OBTFL_num3,2obut_c + coa_c --> for_c + ppcoa_c,2.3.1
OCBT_num2,cbp_c + orn_c --> citr__L_c + h_c + pi_c,2.1.3.3
NTPP2_num2,gtp_c + h2o_c --> gmp_c + h_c + ppi_c,3.6.1.-
NTPP3_num2,dctp_c + h2o_c --> dcmp_c + h_c + ppi_c,3.6.1.12
NTPP3_num3,dctp_c + h2o_c --> dcmp_c + h_c + ppi_c,3.6.1.12
NTPP4_num2,ctp_c + h2o_c --> cmp_c + h_c + ppi_c,3.6.1.65
NTPP5_num2,datp_c + h2o_c --> damp_c + h_c + ppi_c,3.6.1.19
OCTAtex_num2,octa_e --> octa_p,NA
OCTAtex_num3,octa_e --> octa_p,NA
OCTAtex_num4,octa_e --> octa_p,NA
NTPP7_num2,dttp_c + h2o_c --> dtmp_c + h_c + ppi_c,3.6.1.19
O2Stex_num2,o2s_e --> o2s_p,NA
O2Stex_num3,o2s_e --> o2s_p,NA
O2Stex_num4,o2s_e --> o2s_p,NA
ORNDC_num2,h_c + orn_c --> co2_c + ptrc_c,4.1.1.17
ORNtex_num2,orn_e --> orn_p,NA
ORNtex_num3,orn_e --> orn_p,NA
ORNtex_num4,orn_e --> orn_p,NA
OROTtex_num2,orot_e --> orot_p,NA
OROTtex_num3,orot_e --> orot_p,NA
OROTtex_num4,orot_e --> orot_p,NA
MMETtex_num2,mmet_e --> mmet_p,NA
MMETtex_num3,mmet_e --> mmet_p,NA
MMETtex_num4,mmet_e --> mmet_p,NA
PAPSR_num2,paps_c + trdrd_c --> 2.0 h_c + pap_c + so3_c + trdox_c,1.8.4.8
PACALDtex_num2,pacald_e --> pacald_p,NA
PACALDtex_num3,pacald_e --> pacald_p,NA
PACALDtex_num4,pacald_e --> pacald_p,NA
PAPSR2_num2,grxrd_c + paps_c --> grxox_c + 2.0 h_c + pap_c + so3_c,1.8.4.8
PAPSR2_num3,grxrd_c + paps_c --> grxox_c + 2.0 h_c + pap_c + so3_c,1.8.4.8
PAPSR2_num4,grxrd_c + paps_c --> grxox_c + 2.0 h_c + pap_c + so3_c,1.8.4.8
PGM_num2,2pg_c --> 3pg_c,5.4.2.1
PGM_num3,2pg_c --> 3pg_c,5.4.2.1
PGMT_num2,g1p_c --> g6p_c,5.4.2.2
MN2t3pp_num2,h_p + mn2_c --> h_c + mn2_p,NA
PGPP120_num2,h2o_c + pgp120_c --> pg120_c + pi_c,3.1.3.27
PEAMNtex_num2,peamn_e --> peamn_p,NA
PEAMNtex_num3,peamn_e --> peamn_p,NA
PEAMNtex_num4,peamn_e --> peamn_p,NA
PGPP120pp_num2,h2o_p + pgp120_p --> pg120_p + pi_p,3.1.3.27
PGPP140_num2,h2o_c + pgp140_c --> pg140_c + pi_c,NA
PGPP140pp_num2,h2o_p + pgp140_p --> pg140_p + pi_p,NA
PGPP141_num2,h2o_c + pgp141_c --> pg141_c + pi_c,NA
PGPP141pp_num2,h2o_p + pgp141_p --> pg141_p + pi_p,NA
PGPP160_num2,h2o_c + pgp160_c --> pg160_c + pi_c,3.1.3.27
PGPP160pp_num2,h2o_p + pgp160_p --> pg160_p + pi_p,3.1.3.27
PFK_num2,atp_c + f6p_c --> adp_c + fdp_c + h_c,2.7.1.11
PFL_num2,coa_c + pyr_c --> accoa_c + for_c,2.3.1.54
PFL_num3,coa_c + pyr_c --> accoa_c + for_c,2.3.1.54
PFL_num4,coa_c + pyr_c --> accoa_c + for_c,2.3.1.54
PGPP161_num2,h2o_c + pgp161_c --> pg161_c + pi_c,3.1.3.27
PGPP161pp_num2,h2o_p + pgp161_p --> pg161_p + pi_p,3.1.3.27
PGPP180_num2,h2o_c + pgp180_c --> pg180_c + pi_c,3.1.3.27
PGPP180pp_num2,h2o_p + pgp180_p --> pg180_p + pi_p,3.1.3.27
PGPP181_num2,h2o_c + pgp181_c --> pg181_c + pi_c,3.1.3.27
PGPP181pp_num2,h2o_p + pgp181_p --> pg181_p + pi_p,3.1.3.27
PHETA1_num2,akg_c + phe__L_c --> glu__L_c + phpyr_c,2.6.1.1
PHETA1_num3,akg_c + phe__L_c --> glu__L_c + phpyr_c,2.6.1.1
PHEt2rpp_num2,h_p + phe__L_p --> h_c + phe__L_c,NA
PHEt2rpp_num3,h_p + phe__L_p --> h_c + phe__L_c,NA
PHEtex_num2,phe__L_e --> phe__L_p,NA
PHEtex_num3,phe__L_e --> phe__L_p,NA
PHEtex_num4,phe__L_e --> phe__L_p,NA
MNLtex_num2,mnl_e --> mnl_p,NA
MNLtex_num3,mnl_e --> mnl_p,NA
MNLtex_num4,mnl_e --> mnl_p,NA
PIt2rpp_num2,h_p + pi_p --> h_c + pi_c,NA
PItex_num2,pi_e --> pi_p,NA
PItex_num3,pi_e --> pi_p,NA
PItex_num4,pi_e --> pi_p,NA
PPM_num2,r1p_c --> r5p_c,5.4.2
MNtex_num2,mn2_e --> mn2_p,NA
MNtex_num3,mn2_e --> mn2_p,NA
MNtex_num4,mn2_e --> mn2_p,NA
PPPNtex_num2,pppn_e --> pppn_p,NA
PPPNtex_num3,pppn_e --> pppn_p,NA
PPPNtex_num4,pppn_e --> pppn_p,NA
PPTtex_num2,ppt_e --> ppt_p,NA
PPTtex_num3,ppt_e --> ppt_p,NA
PPTtex_num4,ppt_e --> ppt_p,NA
PNTOtex_num2,pnto__R_e --> pnto__R_p,NA
PNTOtex_num3,pnto__R_e --> pnto__R_p,NA
PNTOtex_num4,pnto__R_e --> pnto__R_p,NA
POR5_num2,coa_c + 2.0 flxso_c + pyr_c --> accoa_c + co2_c + 2.0 flxr_c + h_c,NA
PPA_num2,h2o_c + ppi_c --> h_c + 2.0 pi_c,3.6.1.1
PPA_num3,h2o_c + ppi_c --> h_c + 2.0 pi_c,3.6.1.1
PPA2_num2,h2o_c + pppi_c --> h_c + pi_c + ppi_c,3.6.1.25
PPALtex_num2,ppal_e --> ppal_p,NA
PPALtex_num3,ppal_e --> ppal_p,NA
PPALtex_num4,ppal_e --> ppal_p,NA
PPAtex_num2,ppa_e --> ppa_p,NA
PPAtex_num3,ppa_e --> ppa_p,NA
PPAtex_num4,ppa_e --> ppa_p,NA
PROGLYtex_num2,progly_e --> progly_p,NA
PROGLYtex_num3,progly_e --> progly_p,NA
PROGLYtex_num4,progly_e --> progly_p,NA
PROtex_num2,pro__L_e --> pro__L_p,NA
PROtex_num3,pro__L_e --> pro__L_p,NA
PROtex_num4,pro__L_e --> pro__L_p,NA
PSCLYStex_num2,psclys_e --> psclys_p,NA
PSCLYStex_num3,psclys_e --> psclys_p,NA
PSCLYStex_num4,psclys_e --> psclys_p,NA
MOBDabcpp_num2,atp_c + h2o_c + mobd_p --> adp_c + h_c + mobd_c + pi_c,3.6.3.29
MOBDabcpp_num3,atp_c + h2o_c + mobd_p --> adp_c + h_c + mobd_c + pi_c,3.6.3.29
PSERtex_num2,pser__L_e --> pser__L_p,NA
PSERtex_num3,pser__L_e --> pser__L_p,NA
PSERtex_num4,pser__L_e --> pser__L_p,NA
MOBDtex_num2,mobd_e --> mobd_p,NA
MOBDtex_num3,mobd_e --> mobd_p,NA
MOBDtex_num4,mobd_e --> mobd_p,NA
MOGDS_num2,gtp_c + h_c + moco_c --> mocogdp_c + ppi_c,NA
R5Ptex_num2,r5p_e --> r5p_p,NA
R5Ptex_num3,r5p_e --> r5p_p,NA
R5Ptex_num4,r5p_e --> r5p_p,NA
PTAr_num2,accoa_c + pi_c --> actp_c + coa_c,2.3.1.8
RBP4E_num2,ru5p__L_c --> xu5p__D_c,5.1.3.4
RBP4E_num3,ru5p__L_c --> xu5p__D_c,5.1.3.4
PTRCabcpp_num2,atp_c + h2o_c + ptrc_p --> adp_c + h_c + pi_c + ptrc_c,3.6.3.31
PTRCabcpp_num3,atp_c + h2o_c + ptrc_p --> adp_c + h_c + pi_c + ptrc_c,3.6.3.31
PTRCt2pp_num2,h_p + ptrc_p --> h_c + ptrc_c,NA
PTRCtex_num2,ptrc_e --> ptrc_p,NA
PTRCtex_num3,ptrc_e --> ptrc_p,NA
PTRCtex_num4,ptrc_e --> ptrc_p,NA
PUNP3_num2,gsn_c + pi_c --> gua_c + r1p_c,2.4.2.1
RIBabcpp_num2,atp_c + h2o_c + rib__D_p --> adp_c + h_c + pi_c + rib__D_c,3.6.3.17
RIBabcpp_num3,atp_c + h2o_c + rib__D_p --> adp_c + h_c + pi_c + rib__D_c,3.6.3.17
RIBtex_num2,rib__D_e --> rib__D_p,NA
RIBtex_num3,rib__D_e --> rib__D_p,NA
RIBtex_num4,rib__D_e --> rib__D_p,NA
PUNP4_num2,dgsn_c + pi_c --> 2dr1p_c + gua_c,2.4.2.1
PUNP5_num2,ins_c + pi_c --> hxan_c + r1p_c,2.4.2.1
PUNP6_num2,din_c + pi_c --> 2dr1p_c + hxan_c,2.4.2.1
RMNtex_num2,rmn_e --> rmn_p,NA
RMNtex_num3,rmn_e --> rmn_p,NA
RMNtex_num4,rmn_e --> rmn_p,NA
RNDR1_num2,adp_c + trdrd_c --> dadp_c + h2o_c + trdox_c,1.17.4.1
PYDAMtex_num2,pydam_e --> pydam_p,NA
PYDAMtex_num3,pydam_e --> pydam_p,NA
PYDAMtex_num4,pydam_e --> pydam_p,NA
MPTG_num2,2.0 uaagmda_c --> 2.0 h_c + murein5p5p_p + 2.0 udcpdp_c,NA
MPTG_num3,2.0 uaagmda_c --> 2.0 h_c + murein5p5p_p + 2.0 udcpdp_c,NA
PYDXK_num2,atp_c + pydx_c --> adp_c + h_c + pydx5p_c,2.7.1.35
PYDXNtex_num2,pydxn_e --> pydxn_p,NA
PYDXNtex_num3,pydxn_e --> pydxn_p,NA
PYDXNtex_num4,pydxn_e --> pydxn_p,NA
RNDR1b_num2,adp_c + grxrd_c --> dadp_c + grxox_c + h2o_c,NA
RNDR1b_num3,adp_c + grxrd_c --> dadp_c + grxox_c + h2o_c,NA
RNDR1b_num4,adp_c + grxrd_c --> dadp_c + grxox_c + h2o_c,NA
RNDR2_num2,gdp_c + trdrd_c --> dgdp_c + h2o_c + trdox_c,1.17.4.1
RNDR2b_num2,gdp_c + grxrd_c --> dgdp_c + grxox_c + h2o_c,NA
RNDR2b_num3,gdp_c + grxrd_c --> dgdp_c + grxox_c + h2o_c,NA
RNDR2b_num4,gdp_c + grxrd_c --> dgdp_c + grxox_c + h2o_c,NA
RNDR3_num2,cdp_c + trdrd_c --> dcdp_c + h2o_c + trdox_c,1.17.4.1
RNDR3b_num2,cdp_c + grxrd_c --> dcdp_c + grxox_c + h2o_c,NA
RNDR3b_num3,cdp_c + grxrd_c --> dcdp_c + grxox_c + h2o_c,NA
RNDR3b_num4,cdp_c + grxrd_c --> dcdp_c + grxox_c + h2o_c,NA
RNDR4_num2,trdrd_c + udp_c --> dudp_c + h2o_c + trdox_c,1.17.4.1
RNDR4b_num2,grxrd_c + udp_c --> dudp_c + grxox_c + h2o_c,NA
RNDR4b_num3,grxrd_c + udp_c --> dudp_c + grxox_c + h2o_c,NA
RNDR4b_num4,grxrd_c + udp_c --> dudp_c + grxox_c + h2o_c,NA
RNTR1c2_num2,atp_c + 2.0 flxr_c + 2.0 h_c --> datp_c + 2.0 flxso_c + h2o_c,NA
RNTR1c2_num3,atp_c + 2.0 flxr_c + 2.0 h_c --> datp_c + 2.0 flxso_c + h2o_c,NA
RNTR1c2_num4,atp_c + 2.0 flxr_c + 2.0 h_c --> datp_c + 2.0 flxso_c + h2o_c,NA
PYDXPP_num2,h2o_c + pydx5p_c --> pi_c + pydx_c,3.1.3.74
PYDXPP_num3,h2o_c + pydx5p_c --> pi_c + pydx_c,3.1.3.74
PYDXtex_num2,pydx_e --> pydx_p,NA
PYDXtex_num3,pydx_e --> pydx_p,NA
PYDXtex_num4,pydx_e --> pydx_p,NA
PYK_num2,adp_c + h_c + pep_c --> atp_c + pyr_c,2.7.1.40
RNTR2c2_num2,2.0 flxr_c + gtp_c + 2.0 h_c --> dgtp_c + 2.0 flxso_c + h2o_c,NA
RNTR2c2_num3,2.0 flxr_c + gtp_c + 2.0 h_c --> dgtp_c + 2.0 flxso_c + h2o_c,NA
RNTR2c2_num4,2.0 flxr_c + gtp_c + 2.0 h_c --> dgtp_c + 2.0 flxso_c + h2o_c,NA
RNTR3c2_num2,ctp_c + 2.0 flxr_c + 2.0 h_c --> dctp_c + 2.0 flxso_c + h2o_c,NA
RNTR3c2_num3,ctp_c + 2.0 flxr_c + 2.0 h_c --> dctp_c + 2.0 flxso_c + h2o_c,NA
RNTR3c2_num4,ctp_c + 2.0 flxr_c + 2.0 h_c --> dctp_c + 2.0 flxso_c + h2o_c,NA
MPTG2_num2,murein5p5p_p + uaagmda_c --> h_c + murein5p5p5p_p + udcpdp_c,NA
MPTG2_num3,murein5p5p_p + uaagmda_c --> h_c + murein5p5p5p_p + udcpdp_c,NA
RNTR4c2_num2,2.0 flxr_c + 2.0 h_c + utp_c --> dutp_c + 2.0 flxso_c + h2o_c,NA
RNTR4c2_num3,2.0 flxr_c + 2.0 h_c + utp_c --> dutp_c + 2.0 flxso_c + h2o_c,NA
RNTR4c2_num4,2.0 flxr_c + 2.0 h_c + utp_c --> dutp_c + 2.0 flxso_c + h2o_c,NA
RPE_num2,ru5p__D_c --> xu5p__D_c,5.1.3.1
PYRtex_num2,pyr_e --> pyr_p,NA
PYRtex_num3,pyr_e --> pyr_p,NA
PYRtex_num4,pyr_e --> pyr_p,NA
RPI_num2,r5p_c --> ru5p__D_c,5.3.1.6
QUIN2tex_num2,quin_e --> quin_p,NA
QUIN2tex_num3,quin_e --> quin_p,NA
QUIN2tex_num4,quin_e --> quin_p,NA
SERt2rpp_num2,h_p + ser__L_p --> h_c + ser__L_c,NA
MSAR_num2,h_c + msa_c + nadph_c --> 3hpp_c + nadp_c,1.1.1.-
SBTtex_num2,sbt__D_e --> sbt__D_p,NA
SBTtex_num3,sbt__D_e --> sbt__D_p,NA
SBTtex_num4,sbt__D_e --> sbt__D_p,NA
SERtex_num2,ser__L_e --> ser__L_p,NA
SERtex_num3,ser__L_e --> ser__L_p,NA
SERtex_num4,ser__L_e --> ser__L_p,NA
SFGTHi_num2,Sfglutth_c + h2o_c --> for_c + gthrd_c + h_c,3.1.2.12
SHK3Dr_num2,3dhsk_c + h_c + nadph_c --> nadp_c + skm_c,1.1.1.25
SELtex_num2,sel_e --> sel_p,NA
SELtex_num3,sel_e --> sel_p,NA
SELtex_num4,sel_e --> sel_p,NA
SHKK_num2,atp_c + skm_c --> adp_c + h_c + skm5p_c,2.7.1.71
SERD_L_num2,ser__L_c --> nh4_c + pyr_c,4.3.1.15
SERD_L_num3,ser__L_c --> nh4_c + pyr_c,4.3.1.15
SERD_L_num4,ser__L_c --> nh4_c + pyr_c,4.3.1.15
THRD_L_num2,thr__L_c --> 2obut_c + nh4_c,4.3.1.19
THRPtex_num2,thrp_e --> thrp_p,NA
THRPtex_num3,thrp_e --> thrp_p,NA
THRPtex_num4,thrp_e --> thrp_p,NA
SKMtex_num2,skm_e --> skm_p,NA
SKMtex_num3,skm_e --> skm_p,NA
SKMtex_num4,skm_e --> skm_p,NA
SLNTtex_num2,slnt_e --> slnt_p,NA
SLNTtex_num3,slnt_e --> slnt_p,NA
SLNTtex_num4,slnt_e --> slnt_p,NA
SO2tex_num2,so2_e --> so2_p,NA
SO2tex_num3,so2_e --> so2_p,NA
SO2tex_num4,so2_e --> so2_p,NA
SO3tex_num2,so3_e --> so3_p,NA
SO3tex_num3,so3_e --> so3_p,NA
SO3tex_num4,so3_e --> so3_p,NA
SO4tex_num2,so4_e --> so4_p,NA
SO4tex_num3,so4_e --> so4_p,NA
SO4tex_num4,so4_e --> so4_p,NA
SPMDabcpp_num2,atp_c + h2o_c + spmd_p --> adp_c + h_c + pi_c + spmd_c,3.6.3.31
THRt2pp_num2,h_p + thr__L_c --> h_c + thr__L_p,NA
THRtex_num2,thr__L_e --> thr__L_p,NA
THRtex_num3,thr__L_e --> thr__L_p,NA
THRtex_num4,thr__L_e --> thr__L_p,NA
SPMDtex_num2,spmd_e --> spmd_p,NA
SPMDtex_num3,spmd_e --> spmd_p,NA
SPMDtex_num4,spmd_e --> spmd_p,NA
SPODM_num2,2.0 h_c + 2.0 o2s_c --> h2o2_c + o2_c,1.15.1.1
THYMtex_num2,thym_e --> thym_p,NA
THYMtex_num3,thym_e --> thym_p,NA
THYMtex_num4,thym_e --> thym_p,NA
SUCRtex_num2,sucr_e --> sucr_p,NA
SUCRtex_num3,sucr_e --> sucr_p,NA
SUCRtex_num4,sucr_e --> sucr_p,NA
TMAOtex_num2,tmao_e --> tmao_p,NA
TMAOtex_num3,tmao_e --> tmao_p,NA
TMAOtex_num4,tmao_e --> tmao_p,NA
TMAtex_num2,tma_e --> tma_p,NA
TMAtex_num3,tma_e --> tma_p,NA
TMAtex_num4,tma_e --> tma_p,NA
SSALy_num2,h2o_c + nadp_c + sucsal_c --> 2.0 h_c + nadph_c + succ_c,1.2.1.16
SUCASPtpp_num2,asp__L_p + succ_c --> asp__L_c + succ_p,NA
SUCASPtpp_num3,asp__L_p + succ_c --> asp__L_c + succ_p,NA
SUCCt2_3pp_num2,3.0 h_p + succ_p --> 3.0 h_c + succ_c,NA
SUCCtex_num2,succ_e --> succ_p,NA
SUCCtex_num3,succ_e --> succ_p,NA
SUCCtex_num4,succ_e --> succ_p,NA
SUCFUMtpp_num2,fum_p + succ_c --> fum_c + succ_p,NA
SUCFUMtpp_num3,fum_p + succ_c --> fum_c + succ_p,NA
SUCMALtpp_num2,mal__L_p + succ_c --> mal__L_c + succ_p,NA
SUCMALtpp_num3,mal__L_p + succ_c --> mal__L_c + succ_p,NA
TRDR_num2,h_c + nadph_c + trdox_c --> nadp_c + trdrd_c,1.6.4.5
TSULabcpp_num2,atp_c + h2o_c + tsul_p --> adp_c + h_c + pi_c + tsul_c,3.6.3.25
TSULtex_num2,tsul_e --> tsul_p,NA
TSULtex_num3,tsul_e --> tsul_p,NA
TSULtex_num4,tsul_e --> tsul_p,NA
TTRCYCtex_num2,ttrcyc_e --> ttrcyc_p,NA
TTRCYCtex_num3,ttrcyc_e --> ttrcyc_p,NA
TTRCYCtex_num4,ttrcyc_e --> ttrcyc_p,NA
TREtex_num2,tre_e --> tre_p,NA
TREtex_num3,tre_e --> tre_p,NA
TREtex_num4,tre_e --> tre_p,NA
TUNGStex_num2,tungs_e --> tungs_p,NA
TUNGStex_num3,tungs_e --> tungs_p,NA
TUNGStex_num4,tungs_e --> tungs_p,NA
TYMtex_num2,tym_e --> tym_p,NA
TYMtex_num3,tym_e --> tym_p,NA
TYMtex_num4,tym_e --> tym_p,NA
TYRPtex_num2,tyrp_e --> tyrp_p,NA
TYRPtex_num3,tyrp_e --> tyrp_p,NA
TYRPtex_num4,tyrp_e --> tyrp_p,NA
TRPt2rpp_num2,h_p + trp__L_p --> h_c + trp__L_c,NA
TRPt2rpp_num3,h_p + trp__L_p --> h_c + trp__L_c,NA
TRPt2rpp_num4,h_p + trp__L_p --> h_c + trp__L_c,NA
TRPtex_num2,trp__L_e --> trp__L_p,NA
TRPtex_num3,trp__L_e --> trp__L_p,NA
TRPtex_num4,trp__L_e --> trp__L_p,NA
TRSARr_num2,2h3oppan_c + h_c + nadh_c --> glyc__R_c + nad_c,1.1.1
TYRTA_num2,akg_c + tyr__L_c --> 34hpp_c + glu__L_c,2.6.1.1
UDPGtex_num2,udpg_e --> udpg_p,NA
UDPGtex_num3,udpg_e --> udpg_p,NA
UDPGtex_num4,udpg_e --> udpg_p,NA
SULFACtex_num2,sulfac_e --> sulfac_p,NA
SULFACtex_num3,sulfac_e --> sulfac_p,NA
SULFACtex_num4,sulfac_e --> sulfac_p,NA
TYRt2rpp_num2,h_p + tyr__L_p --> h_c + tyr__L_c,NA
TYRt2rpp_num3,h_p + tyr__L_p --> h_c + tyr__L_c,NA
TYRt2rpp_num4,h_p + tyr__L_p --> h_c + tyr__L_c,NA
TYRtex_num2,tyr__L_e --> tyr__L_p,NA
TYRtex_num3,tyr__L_e --> tyr__L_p,NA
TYRtex_num4,tyr__L_e --> tyr__L_p,NA
UACGAMtex_num2,uacgam_e --> uacgam_p,NA
UACGAMtex_num3,uacgam_e --> uacgam_p,NA
UACGAMtex_num4,uacgam_e --> uacgam_p,NA
SULabcpp_num2,atp_c + h2o_c + so4_p --> adp_c + h_c + pi_c + so4_c,3.6.3.25
SULabcpp_num3,atp_c + h2o_c + so4_p --> adp_c + h_c + pi_c + so4_c,3.6.3.25
UMPK_num2,atp_c + ump_c --> adp_c + udp_c,2.7.4.14
UMPtex_num2,ump_e --> ump_p,NA
UMPtex_num3,ump_e --> ump_p,NA
UMPtex_num4,ump_e --> ump_p,NA
UPP3MT_num2,2.0 amet_c + uppg3_c --> 2.0 ahcys_c + dscl_c + h_c,2.1.1.107
UDCPDP_num2,h2o_c + udcpdp_c --> h_c + pi_c + udcpp_c,NA
UDCPDP_num3,h2o_c + udcpdp_c --> h_c + pi_c + udcpp_c,NA
UDCPDPpp_num2,h2o_p + udcpdp_p --> h_p + pi_p + udcpp_p,NA
UDCPDPpp_num3,h2o_p + udcpdp_p --> h_p + pi_p + udcpp_p,NA
URAtex_num2,ura_e --> ura_p,NA
URAtex_num3,ura_e --> ura_p,NA
URAtex_num4,ura_e --> ura_p,NA
UDPACGALtex_num2,udpacgal_e --> udpacgal_p,NA
UDPACGALtex_num3,udpacgal_e --> udpacgal_p,NA
UDPACGALtex_num4,udpacgal_e --> udpacgal_p,NA
UDPGALtex_num2,udpgal_e --> udpgal_p,NA
UDPGALtex_num3,udpgal_e --> udpgal_p,NA
UDPGALtex_num4,udpgal_e --> udpgal_p,NA
UDPGLCURtex_num2,udpglcur_e --> udpglcur_p,NA
UDPGLCURtex_num3,udpglcur_e --> udpglcur_p,NA
UDPGLCURtex_num4,udpglcur_e --> udpglcur_p,NA
UREAtex_num2,urea_e --> urea_p,NA
UREAtex_num3,urea_e --> urea_p,NA
UREAtex_num4,urea_e --> urea_p,NA
URIH_num2,h2o_c + uri_c --> rib__D_c + ura_c,3.2.2.3
URIH_num3,h2o_c + uri_c --> rib__D_c + ura_c,3.2.2.3
TALA_num2,g3p_c + s7p_c --> e4p_c + f6p_c,2.2.1.2
URIt2pp,h_p + uri_p --> h_c + uri_c,NA
XTSNtex_num2,xtsn_e --> xtsn_p,NA
XTSNtex_num3,xtsn_e --> xtsn_p,NA
XTSNtex_num4,xtsn_e --> xtsn_p,NA
XYLK_num2,atp_c + xylu__D_c --> adp_c + h_c + xu5p__D_c,2.7.1.17
XYLK2_num2,atp_c + xylu__L_c --> adp_c + h_c + xu5p__L_c,2.7.1.53
VALt2rpp_num2,h_p + val__L_p --> h_c + val__L_c,NA
VALtex_num2,val__L_e --> val__L_p,NA
VALtex_num3,val__L_e --> val__L_p,NA
VALtex_num4,val__L_e --> val__L_p,NA
TARTRDtex_num2,tartr__D_e --> tartr__D_p,NA
TARTRDtex_num3,tartr__D_e --> tartr__D_p,NA
TARTRDtex_num4,tartr__D_e --> tartr__D_p,NA
XYLUtex_num2,xylu__L_e --> xylu__L_p,NA
XYLUtex_num3,xylu__L_e --> xylu__L_p,NA
XYLUtex_num4,xylu__L_e --> xylu__L_p,NA
XYLtex_num2,xyl__D_e --> xyl__D_p,NA
XYLtex_num3,xyl__D_e --> xyl__D_p,NA
XYLtex_num4,xyl__D_e --> xyl__D_p,NA
XANt2pp_num2,h_p + xan_p --> h_c + xan_c,NA
XANtex_num2,xan_e --> xan_p,NA
XANtex_num3,xan_e --> xan_p,NA
XANtex_num4,xan_e --> xan_p,NA
ZN2t3pp_num2,h_p + zn2_c --> h_c + zn2_p,NA
XMPtex_num2,xmp_e --> xmp_p,NA
XMPtex_num3,xmp_e --> xmp_p,NA
XMPtex_num4,xmp_e --> xmp_p,NA
Zn2tex_num2,zn2_e --> zn2_p,NA
Zn2tex_num3,zn2_e --> zn2_p,NA
Zn2tex_num4,zn2_e --> zn2_p,NA
TARTRtex_num2,tartr__L_e --> tartr__L_p,NA
TARTRtex_num3,tartr__L_e --> tartr__L_p,NA
TARTRtex_num4,tartr__L_e --> tartr__L_p,NA
DRIBtex_num2,drib_e --> drib_p,NA
DRIBtex_num3,drib_e --> drib_p,NA
TAURtex_num2,taur_e --> taur_p,NA
TAURtex_num3,taur_e --> taur_p,NA
TAURtex_num4,taur_e --> taur_p,NA
ICITtex_num2,icit_e --> icit_p,NA
ICITtex_num3,icit_e --> icit_p,NA
TCYNTtex_num2,tcynt_e --> tcynt_p,NA
TCYNTtex_num3,tcynt_e --> tcynt_p,NA
TCYNTtex_num4,tcynt_e --> tcynt_p,NA
HACD3i_num2,3hocoa_c + nad_c --> 3oocoa_c + h_c + nadh_c,1.1.1.211
3PGtex_num2,3pg_e --> 3pg_p,NA
3PGtex_num3,3pg_e --> 3pg_p,NA
CYSItex_num2,cysi__L_e --> cysi__L_p,NA
CYSItex_num3,cysi__L_e --> cysi__L_p,NA
TDPGDH_num2,dtdpglu_c --> dtdp4d6dg_c + h2o_c,4.2.1.46
HACD2i_num2,3hhcoa_c + nad_c --> 3ohcoa_c + h_c + nadh_c,1.1.1.211
HACD7i_num2,3hhdcoa_c + nad_c --> 3ohdcoa_c + h_c + nadh_c,1.1.1.211
FLDR_num2,fldox_c + h_c + nadph_c --> fldrd_c + nadp_c,1.19.1.1
DXYLUDtex_num2,dxyl_e --> dxyl_p,NA
DXYLUDtex_num3,dxyl_e --> dxyl_p,NA
HACD5i_num2,3hddcoa_c + nad_c --> 3oddcoa_c + h_c + nadh_c,1.1.1.211
OAAtex_num2,oaa_e --> oaa_p,5.3.2.2
OAAtex_num3,oaa_e --> oaa_p,5.3.2.2
SALCHSXtex_num2,salchsx_e --> salchsx_p,NA
SALCHSXtex_num3,salchsx_e --> salchsx_p,NA
TETtex_num2,tet_e --> tet_p,NA
TETtex_num3,tet_e --> tet_p,NA
SALCHS4FEtonex_num2,h_p + salchs4fe_e --> h_c + salchs4fe_p,NA
TGBPA_num2,tagdp__D_c --> dhap_c + g3p_c,4.1.2.40
TAGtex_num2,tag__D_e --> tag__D_p,NA
TAGtex_num3,tag__D_e --> tag__D_p,NA
ACONCtex_num2,acon_C_e --> acon_C_p,NA
ACONCtex_num3,acon_C_e --> acon_C_p,NA
GULNLtex_num2,guln__L_e --> guln__L_p,NA
GULNLtex_num3,guln__L_e --> guln__L_p,NA
HACD4i_num2,3hdcoa_c + nad_c --> 3odcoa_c + h_c + nadh_c,1.1.1.211
