reactions,metabolites,metabolitestotal,gpr,genes
DSERtex_reverse_num1,ser__D_p,ser__D,ECDH1ME8569_0229,ECDH1ME8569_0229
DURADx_reverse,ura_c,ura,ECDH1ME8569_2083 and ECDH1ME8569_2082,ECDH1ME8569_2083
DURADx_reverse,ura_c,ura,ECDH1ME8569_2083 and ECDH1ME8569_2082,ECDH1ME8569_2082
DURIPP_reverse_num1,2dr1p_c,2dr1p,ECDH1ME8569_4238,ECDH1ME8569_4238
DURIPP_reverse_num1,ura_c,ura,ECDH1ME8569_4238,ECDH1ME8569_4238
ECOAH1_reverse_num1,b2coa_c,b2coa,ECDH1ME8569_3723,ECDH1ME8569_3723
ALAALAr_reverse_num1,alaala_c,alaala,ECDH1ME8569_0367,ECDH1ME8569_0367
ECOAH2_reverse_num1,hx2coa_c,hx2coa,ECDH1ME8569_3723,ECDH1ME8569_3723
ECOAH3_reverse_num1,oc2coa_c,oc2coa,ECDH1ME8569_3723,ECDH1ME8569_3723
ECOAH4_reverse_num1,dc2coa_c,dc2coa,ECDH1ME8569_3723,ECDH1ME8569_3723
FCI_reverse,fcl__L_c,fcl__L,ECDH1ME8569_2712,ECDH1ME8569_2712
ECOAH5_reverse_num1,dd2coa_c,dd2coa,ECDH1ME8569_3723,ECDH1ME8569_3723
ECOAH6_reverse_num1,td2coa_c,td2coa,ECDH1ME8569_3723,ECDH1ME8569_3723
ECOAH7_reverse_num1,hdd2coa_c,hdd2coa,ECDH1ME8569_3723,ECDH1ME8569_3723
ECOAH8_reverse_num1,od2coa_c,od2coa,ECDH1ME8569_3723,ECDH1ME8569_3723
ETHAtex_reverse_num1,etha_p,etha,ECDH1ME8569_0229,ECDH1ME8569_0229
ETHSO3tex_reverse_num1,ethso3_p,ethso3,ECDH1ME8569_0229,ECDH1ME8569_0229
ENO_reverse,pep_c,pep,ECDH1ME8569_2689,ECDH1ME8569_2689
ETOHtex_reverse_num1,etoh_p,etoh,ECDH1ME8569_0229,ECDH1ME8569_0229
ETOHtrpp_reverse,etoh_c,etoh,s0001,s0001
