,kcat,data_type,MW,kcat_MW
H2Otex_reverse_num8,25774.289347944356,fill,102188,908007.2185833922
HCO3tex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
NAtex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
NAtex_reverse_num12,25774.289347944356,fill,59146,1568786.420934631
GLCtex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
GLNtex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
ARGtex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
HIStex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
UREAtex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
NO3tex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
NH4tex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
SO4tex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
PItex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
TR1017_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
MNtex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
Ktex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
Zn2tex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
NI2tex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
COBALT2tex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
FE2tex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
MG2tex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
CA2tex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
CU2tex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
MOBDtex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
FE3tex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
PTRCtex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
SPMDtex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
TR1031_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
TR1032_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
COt_1_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
H2tex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
TR1035_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
GLUtex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
GLCGLYCtex_reverse_num5,25774.289347944356,fill,59146,1568786.420934631
PC8XM_reverse_num2,0.00142,Other_species,46726,0.10940375807901383
