reactions,data_type,kcat,MW,kcat_MW
PFK_3,ours,14.282025542140412,34841.664300000004,1475.6841552975263
PSSA181,ours,14.282025542140412,141708.5374000001,362.8242369517636
PTRCabcpp_num1,ours,14.282025542140412,40839.16070000006,345.53586160727616
2AGPGAT181,ours,14.185327284812416,80699.04430000036,632.8101982903466
G5SD,ours,14.17128454678961,44629.54760000013,1143.1131864855033
GAMptspp,ours,14.17128454678961,63561.09830000026,306.74130177815016
G3PT,ours,14.17128454678961,30412.456100000025,1677.491097749338
G3PSabcpp,ours,14.17128454678961,48448.15090000003,334.022307467567
GLCTR3,ours,14.151888626513117,39039.85989999997,1304.9944130421243
ARGORNt7pp,ours,14.151888626513117,49500.88480000003,1029.209866879939
APG3PAT181,ours,14.151888626513117,22193.16890000001,2295.6072332440635
ACMUMptspp,ours,14.151888626513117,18250.83530000001,362.01151100989
ADPRDP_num1,ours,14.151888626513117,21152.9129,2408.500394073254
CS,ours,14.151888626513117,48014.47290000005,1061.0717139716255
ACOATA,ours,14.079126020427388,33514.741300000045,1202.3690264199408
SSALy_num1,ours,14.060730094779265,51719.44750000004,978.7155661553676
RBFSa,ours,13.824401089029584,23444.63330000001,2122.781929820437
GALUi,ours,13.824401089029584,32941.8982,1510.7764470144132
G3PD7,ours,13.824401089029584,45356.710000000094,335.31342244035494
CYANST,ours,13.804876729076051,12082.338199999998,4113.239954222916
G6PDA,ours,13.782048105526346,29773.86980000001,1666.4066012639994
PGPP160pp_num1,ours,13.782048105526346,19417.8997,2555.1359285213966
ACOAD1f,ours,13.782048105526346,89223.37480000046,556.0804362210091
DSERt2pp,ours,13.735213494720751,51659.05060000008,957.175325653287
ALAALAr_num1,ours,13.720877180293288,32839.329000000056,1504.1463803677523
APG3PAT120,ours,13.720877180293288,22193.16890000001,2225.691971778569
RNDR3_num1,ours,13.703294705933068,43516.750900000094,349.62960912389417
URIt2pp_copy2,ours,13.703294705933068,46139.31040000012,1069.1937203586579
RNDR2b_num1,ours,13.703294705933068,80478.05370000044,389.6499628106359
MDDEP4pp_num1,ours,13.703294705933068,51797.71050000005,952.3946225646207
MPTSS,ours,13.695233587155167,26718.568499999983,1845.265060280405
AGM4PCP,ours,13.68403639959626,33567.06660000001,1467.585226483464
USHD,ours,13.678799424669418,26893.86810000001,1831.0373853886003
URDGLYCD,ours,13.66626738189558,37966.6857,1295.8350634968406
GLYC3Pt6pp,ours,13.623934275961409,50309.81099999998,974.8826803078448
GLYCAt2rpp_num1,ours,13.623934275961409,49141.49909999999,998.0599756156213
GLYC3Pabcpp,ours,13.623934275961409,48448.15090000003,321.121063416515
GLCTR1,ours,13.623934275961409,42283.61260000006,1159.9331366842814
GLCabcpp,ours,13.623934275961409,35712.139500000005,384.14411327178277
GLYTRS,ours,13.612185103599993,34773.975000000006,439.1579174421266
SARCOX,ours,13.598466522857327,40901.496100000055,1196.8872571946413
CYTDt2pp_copy1_num1,ours,13.598466522857327,43475.232800000056,1126.031451228625
PROTRS,ours,13.598466522857327,63691.83340000015,768.6147009592327
ACACT6r_num1,ours,13.598466522857327,46529.971200000095,1052.1063783139905
PLIPA1A160pp,ours,13.598466522857327,33162.71369999999,1476.190396393477
G3PAT120,ours,13.59205371326808,91380.36490000038,489.21715967442526
SERASr,ours,13.56742999232739,141989.2243000003,343.9891175768506
LPLIPAL2ATG181,ours,13.548258841485714,38977.781800000055,1251.321383028228
TYRL,ours,13.467240928062756,26895.785599999977,1802.5897462919231
ENTERES,ours,13.429947550408546,45651.37860000007,1059.0657426820992
GALt2pp,ours,13.276657853951397,50981.91700000004,937.5082595310214
GLCTR2,ours,13.261428577959764,39422.7038,1211.0063054745408
FEENTERtex_copy1,ours,13.234138204676766,53740.044600000125,886.5436917935914
CRNt2rpp,ours,13.172869420642154,54845.15890000003,864.6584468973382
ARBTNabcpp,ours,13.131516431767285,70422.20310000039,357.3032864247221
MTHFC,ours,13.120219856363049,31043.375400000023,1521.509528983338
BSORy,ours,13.10309762417888,85849.65890000053,549.4623048181228
