WILD TYPE,0.41,8.16,0.6,4.95,0.77,0.07,0.2,0.02,0.04,0.02,0.32,0.01,0.02,0.01,0,0.02,0.01,0.02,8.12,2.38,1.58,5.71,0.8,6.41,0.5,0.25,0.5,13.81,12.88,9.98,9.14,2.16,2.16,1.25,1.25,0.82,0.42,0.23,2.59,5.53,0,0.02,0.08,0.13,0.1,0.17,0.15,0.05,0.04,0.05,0.17,0.17,0.09,0.04,0.11,0.11,0.11,0.11,0.2,0.2,0.08,0.13,0.08,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Transcription factor mutants  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FadR,0.41,7.44,0.54,4.65,0.76,0.05,0.2,0.03,0.03,0.01,0.31,0.04,0.04,0.01,0.01,0.01,0,0.01,7.2,2.08,1.59,5.06,0.49,5.84,0.51,0.28,0.51,12.38,11.55,9.19,7.95,1.8,1.8,0.98,0.98,0.84,0.14,0.34,2.2,4.86,0,0.08,0.35,0.01,0.39,0.34,0.42,0,0,0,0.49,0.49,0.45,0.16,0.12,0.12,0.12,0.12,0.07,0.05,0.15,0.2,0.04,0
FhlA,0.39,8.2,0.58,4.08,0.8,0.06,0.18,0.02,0.04,0.01,0.28,0.03,0.02,0,0,0.02,0,0.01,7.59,2.03,1.35,5.52,0.69,6.08,0.43,0.18,0.43,12.95,12.05,9.13,8.27,1.97,1.97,1.07,1.07,0.59,0.49,0.3,2.68,4.88,0,0.09,0.35,0.02,0.27,0.37,0.28,0.01,0.01,0.01,0.18,0.18,0.38,0.22,0.11,0.11,0.11,0.11,0.11,0.22,0.05,0.25,0.12,0
Fis,0.42,8.8,0.66,4.01,0.79,0.04,0.2,0.01,0.09,0.03,0.25,0.03,0.01,0.04,0.01,0,0.01,0.01,7.88,2.12,1.61,5.73,0.52,6.42,0.51,0.24,0.51,13.51,12.52,9.15,8.21,1.98,1.98,1.01,1.01,0.28,0.73,0.08,2.86,4.67,0,0.01,0.13,0.3,0.12,0.17,0.08,0.11,0.11,0.11,0.08,0.09,0.44,0.08,0.02,0.02,0.02,0.02,0.32,0.34,0.09,0.25,0.06,0
FlhD,0.42,7.11,0.52,4.07,0.74,0.07,0.23,0.03,0.04,0.01,0.28,0,0.01,0.04,0.01,0.05,0.01,0,6.81,2.19,1.54,4.6,0.66,5.32,0.5,0.27,0.5,11.49,10.68,8.14,7.34,1.73,1.73,0.92,0.92,0.56,0.36,0.32,2.38,4.34,0,0.01,0.11,0.08,0.09,0.19,0.15,0.02,0.03,0.02,0.13,0.13,0.55,0.06,0.08,0.08,0.08,0.08,0.34,0.42,0.11,0.31,0.02,0
FliZ,0.41,7.05,0.51,4.55,0.77,0.07,0.2,0.02,0.05,0.02,0.29,0.04,0.01,0.01,0.01,0.02,0.01,0.08,6.85,2.02,1.41,4.8,0.62,5.45,0.46,0.24,0.46,11.68,10.9,8.29,7.63,1.74,1.74,0.96,0.96,0.46,0.5,0.2,2.35,4.66,0,0.21,0.33,0.23,0.11,0.09,0.04,0.08,0.08,0.08,0.25,0.25,0.01,0.37,0.45,0.45,0.46,0.46,0.17,0.29,0.04,0.25,0.07,0
Fnr,0.42,7.31,0.55,4.29,0.75,0.07,0.21,0.03,0.01,0.01,0.33,0,0.01,0.04,0.01,0.01,0.01,0.01,7.08,2.19,1.5,4.86,0.69,5.55,0.48,0.25,0.48,11.97,11.12,8.75,7.65,1.94,1.94,1.11,1.11,1,0.11,0.35,2.22,4.4,0,0.01,0.06,0.06,0.06,0.11,0.09,0.01,0.02,0.01,0.11,0.11,0.24,0,0.01,0.01,0.01,0.01,0.13,0.13,0.08,0.05,0.01,0
FrvR,0.42,7.21,0.55,4.25,0.74,0.1,0.2,0.02,0.05,0.03,0.32,0.02,0.04,0,0.02,0.04,0.03,0.03,7.11,2.48,1.48,4.61,1,5.28,0.48,0.24,0.48,11.73,10.89,8.06,7.72,1.99,1.99,1.15,1.15,0.59,0.56,0.06,2.39,4.41,0,0.06,0.32,0.14,0.25,0.46,0.35,0.05,0.04,0.05,0.28,0.28,0.77,0.21,0.33,0.33,0.34,0.34,0.17,0.51,0.01,0.49,0.12,0
Fur,0.38,6.51,0.47,4.96,0.81,0.04,0.17,0.01,0.04,0.01,0.25,0.04,0.04,0.01,0.01,0.03,0.01,0.04,6.39,1.29,1.19,5.07,0.1,5.6,0.38,0.18,0.38,11.43,10.71,8.6,7.19,1.38,1.38,0.65,0.65,0.52,0.13,0.13,1.81,4.67,0,0.03,0.22,0.05,0.25,0.17,0.21,0.02,0.02,0.02,0.24,0.24,0.19,0.08,0.1,0.1,0.1,0.1,0.03,0.08,0.09,0.16,0.02,0
GadE,0.34,8.95,0.56,4.91,0.76,0.06,0.2,0.02,0.05,0.01,0.31,0,0,0.03,0,0.04,0,0.02,8.72,2.65,1.82,6.04,0.83,6.91,0.59,0.34,0.59,14.92,14.02,10.88,10.37,2.53,2.53,1.63,1.63,0.93,0.71,0.33,2.94,6.43,0,0.23,0.04,0.07,0.19,0.03,0.22,0.02,0.01,0.02,0.42,0.36,0.49,0.08,0.2,0.2,0.14,0.14,0.4,0.26,0.02,0.13,0.19,0
GadW,0.4,7.77,0.54,4.4,0.79,0.05,0.22,0.02,0.06,0.01,0.29,0.04,0.02,0.02,0.01,0.06,0.01,0.01,7.26,1.93,1.43,5.31,0.5,5.95,0.46,0.22,0.46,12.54,11.69,8.87,7.99,1.88,1.88,1.04,1.04,0.5,0.54,0.21,2.53,4.77,0,0.01,0.35,0.16,0.33,0.19,0.23,0.05,0.06,0.05,0.23,0.23,0.37,0.04,0.06,0.06,0.06,0.06,0.54,0.59,0.21,0.38,0.01,0
