,STARVED@8H_mu=-0.005_H,PERSIST@8H_mu=0.02_H,FUM_BATCH_mu=0.55_H,GLC_BATCH_mu=0.6_H,GLC_CHEM_mu=0.21_P,GLC_CHEM_mu=0.22_P,GLC+AA_CHEM_mu=0.22_replicate1_P,GLC+AA_CHEM_mu=0.22_replicate2_P,GLC+AA_CHEM_mu=0.25_P,GLC_CHEM_mu=0.26_P,GLC_CHEM_mu=0.31_P,GLC+AA_CHEM_mu=0.35_P,GLC_CHEM_mu=0.36_P,GLC_CHEM_mu=0.41_P,GLC+AA_CHEM_mu=0.42_P,GLC+AA_CHEM_mu=0.45_P,GLC_CHEM_mu=0.46_P,GLC_CHEM_mu=0.51_replicate1_P,GLC_CHEM_mu=0.51_replicate2_P,GLC+AA_CHEM_mu=0.53_P,GLC+AA_CHEM_mu=0.55_P,GLC+AA_CHEM_mu=0.63_P,GLC+AA_CHEM_mu=0.65_P,GLC+AA_CHEM_mu=0.73_P,GLC+AA_CHEM_mu=0.74_P,GLC+AA_CHEM_mu=0.78_P,GLC+AA_CHEM_mu=0.82_P,GLC_STATIONARY1d_mu=-0.01_S,GLC_STATIONARY3d_mu=-0.01_S,GLC_CHEM_mu=0.12_S,GLC_CHEM_mu=0.20_S,GAL_BATCH_mu=0.26_S,ACE_BATCH_mu=0.3_S,GLC_CHEM_mu=0.35_S,PYR_BATCH_mu=0.40_S,FUM_BATCH_mu=0.42_S,SUCC_BATCH_mu=0.44_S,GAM_BATCH_mu=0.46_S,GLYC_BATCH_mu=0.47_S,MAN_BATCH_mu=0.47_S,GLC_CHEM_mu=0.50_S,GLC+SALTS_BATCH_mu=0.55_S,XYL_BATCH_mu=0.55_S,GLC_BATCH_mu=0.58_S,GLC@pH6_BATCH_mu=0.63_S,FRU_BATCH_mu=0.65_S,GLC@42deg_BATCH_mu=0.66_S,GLC_BATCH_mu=0.67_S,GLC_BATCH_mu=1.03_S,GLYC+AA_BATCH_mu=1.27_S,LB_BATCH_mu=1.78_S,LB_BATCH_mu=1.9_S,LB_BATCH_mu=2.3_S,GLC_CHEM_mu=0.11_V,GLC_CHEM_mu=0.21_V,GLC_CHEM_mu=0.31_V,GLC_CHEM_mu=0.40_V,GLC_CHEM_mu=0.49_V
b4144,2896.290835,4264.240225,1776.355887,952.3564852,1823.47974,1773.37156,2098.284726,,1730.526844,1669.336248,1553.678275,1684.409347,1481.744045,1409.717857,1388.73116,1379.523938,1164.844637,1107.355005,1154.464003,1132.693088,1091.990312,1034.758346,959.7005114,853.611507,856.4223157,849.0523547,,1280.69375,1340.26875,1385.873684,1657.081731,600.0904977,473.0173913,1467.383333,486.816,459.0472441,383.5697674,736.0877863,457.0113636,246.7386364,1284.94052,1416.623656,654.2508961,289.556338,615.0614334,294.777027,438.1174497,342.5266667,203.0903955,591.2924282,281.3995272,398.2657343,159.5275229,366.44,354.25,290.84,227.94,188.03
b4146,8.616057455,7.514470415,28.77918167,15.72122273,,,,,,,,,,,,,,,,,,,,,,,,0.1375,0.01875,1.678947368,1.975961538,6.950226244,7.004347826,3.6875,9.1,13.03543307,7.775193798,9.767175573,12.4469697,6.083333333,6.408921933,1.240143369,9.17921147,18.65492958,1.706484642,8.108108108,5.352348993,18.34666667,15.32485876,14.57963446,14.59574468,20.8041958,13.64449541,,,,,
b4147,4319.773006,5516.907026,3746.848936,2231.048359,2689.749998,2583.855551,2638.531527,2810.158112,2927.726432,2951.956335,3003.139015,3224.252715,3127.175674,3350.681754,3483.142671,3555.358791,3272.760318,3340.145239,3232.449705,3734.944584,4030.819426,4055.527324,4064.877739,4371.718193,3969.671596,4225.744461,2887.466294,5201.60625,4969.94375,2807.726316,3155.384615,4415.547511,3491.921739,3589.6375,4952.344,5277.137795,5854.79845,4636.194656,5518.609848,4815.659091,4197.907063,5812.354839,6011.777778,6317.017606,5549.90785,5328.405405,4072.963087,5777.82,5767.887006,6513.284595,6336.605201,9084.331002,8604.456422,2892.96,2901.68,3489.63,3502.79,3604.49
b4149,384.3724317,432.6656576,220.894854,200.9925346,,,,,,,,,,,,,,,,,,,,,,,,78.8625,67.7875,35.07894737,31.86057692,35.02714932,35.8826087,30.29166667,19.128,31.3503937,24.65891473,32.72900763,26.81439394,28.73484848,25.50185874,37.34050179,18.88888889,17.44014085,37.08191126,17.0777027,21.93959732,,,45.06005222,,45.30536131,,54.42,39.61,39.62,33.3,28.97
b4150,39.28188737,42.06605064,28.96532365,19.44330699,,,,,,,,,,,,,,,,,,,,,,,,0.2875,4.45,2.052631579,2.774038462,2.502262443,3.647826087,3.095833333,4.38,5.291338583,3.523255814,5.011450382,4.234848485,2.621212121,3.73605948,5.451612903,3.64516129,6.862676056,3.781569966,1.753378378,4.724832215,3.853333333,3.172316384,9.631853786,3.6643026,8.668997669,4.580275229,,,,,
b4153,1186.981663,643.2263258,932.5292916,39.94072549,,229.1497124,326.9119749,,313.305663,,,,,,,,,,,215.9680985,,212.235436,,,,,,67.40625,74.84375,122.3052632,113.7403846,54.19457014,59.95217391,102.9291667,84.088,149.6141732,107.3488372,67.02290076,58.03409091,45.91666667,59.14498141,66.55555556,38.01433692,58.01056338,67.69624573,57.30743243,75.69798658,42.97,12.76553672,67.98172324,238.4751773,138.0885781,99.16513761,779.72,542.93,290.02,289.04,144.87
b4154,1117.039379,837.0283393,939.7223763,52.29863124,393.547972,329.7057437,383.5604806,191.2155993,367.8345665,412.8299533,296.3934292,136.0029269,329.1307218,181.6149561,471.2703102,210.5620011,136.775942,130.5294927,136.4737777,404.9510987,,416.400276,124.3017319,315.6086523,268.7378183,236.0949584,163.5910734,11.26875,13.8,62.91052632,45.24038462,29.04524887,45.79130435,41.86666667,25.696,87.12598425,85.87209302,20.69465649,23.19318182,30.0530303,31.88104089,14.6344086,19.86738351,12.86971831,11.83617747,22.10472973,19.63422819,12.31,12.50282486,63.2689295,98.66903073,95.11188811,42.25917431,327.87,291.54,208.73,133.88,80.71
b4155,65.61747605,82.40880752,50.16548965,26.05152376,,,,,,,,,,,,,,,,,,,,,,,,15.75625,50.9,0.752631579,5.447115385,3.751131222,5.02173913,8.270833333,3.828,7.92519685,6.527131783,7.370229008,8.71969697,,8.494423792,11.11469534,,12.47887324,14.63139932,,12.09731544,23.02,21.24576271,,15.67612293,60.37529138,36.38073394,,,,,
b4159,29.2018328,39.49492792,18.34726031,8.798982798,,,,,,,,,,,,,,,,,,,20.64264279,,34.42078386,,25.9378133,3.925,4.425,8.710526316,6.115384615,7.633484163,6.739130435,5.85,10.048,7.893700787,3.794573643,10.73282443,5.715909091,4.390151515,5.141263941,4.817204301,4.390681004,5.035211268,5.051194539,4.469594595,6.077181208,0.366666667,1.296610169,3.731070496,0.822695035,5.475524476,0.793577982,,,,,
b4160,1069.23924,2206.507333,848.7901983,495.3748219,336.9552576,297.2243282,357.8073986,275.2547432,339.6905001,321.0825389,315.176582,378.9069452,282.484224,282.0545335,340.463144,319.5062671,272.3483421,252.811115,284.6173679,267.6534694,281.2132372,280.8292472,282.3878908,261.1427038,284.4633776,244.0761084,251.8070659,481.3375,534.1875,568.0789474,493.1826923,486.1945701,393.2608696,457.0041667,603.392,451.5,511.0193798,489.4885496,556.8901515,545.5530303,432.3085502,474.3691756,450.2580645,570.4647887,416.6075085,561.8277027,447.6812081,326.91,374.6016949,456.3681462,306.1749409,438.7645688,375.206422,1004.96,876.28,709.94,668.36,623.22
b4161,232.3606298,495.2945246,197.8728128,135.9020596,204.092355,199.1006386,211.8292115,255.7075579,195.0803576,196.6804045,225.0412886,180.4994469,184.0426728,187.1595058,172.077353,169.6205617,183.3003254,150.4297197,168.4754416,164.5420709,140.8521476,144.9694354,159.3665097,176.0561095,186.1192488,172.5781441,172.350116,99.71875,96.1125,98.65789474,81.47596154,97.760181,85.37826087,84.525,124.088,113.6732283,94.0620155,114.6145038,123.9507576,99.21590909,92.19330855,105.3727599,114.3835125,131.8415493,97.72696246,95.19594595,145.033557,72.08,62.60169492,98.38120104,74.53191489,91.37296037,42.69266055,274.83,252.49,213.63,173.35,181.53
b4162,588.0297069,958.0822509,476.3951467,241.2299073,477.5061157,493.6065177,493.3402693,596.6909654,498.9219957,428.5161291,419.4126524,446.0130798,390.3695679,402.7121155,446.2696466,404.0864,416.8716528,381.8001289,443.0049344,409.654582,449.1817009,369.8213251,380.7957964,359.8983334,436.4491325,356.799982,282.9353316,237.25,222.525,115.1,107.7836538,210.321267,163.8913043,106.2375,152.808,151.1456693,193.1744186,160.2061069,155.6287879,189.5871212,117.070632,256.9139785,213.0860215,179.3873239,323.1262799,187.6182432,262.2583893,170.64,135.3983051,137.997389,147.2293144,146.0792541,147.7683486,657.11,638.1,529.39,526.59,577.69
b4167,191.820479,339.3517568,138.8320417,41.13411586,,,,,,,,,,,,,,,,,,,,,,,,53.11875,47.7125,98.05789474,56.51442308,53.83710407,30.72173913,45.18333333,23.376,32.44488189,27.27131783,23.92748092,24.49621212,24.01893939,31.58364312,32.84946237,27.47311828,16.91549296,22.53924915,19.41554054,31.82550336,,,15.18015666,,20.01631702,,157.05,130.92,81.7,67.28,
b4168,329.1623036,651.6451467,282.9315689,175.243757,,,,,,,,,,,,,,94.42655405,,89.25413542,,,,,,,,339.35625,186,276.9,298.7692308,347.4072398,283.626087,246.5291667,311.196,290.6259843,273.5620155,289.6183206,336.469697,272.8181818,260.0929368,254.4802867,284.5555556,321.915493,363.8805461,303.8614865,505.6577181,224.8866667,263.819209,229.383812,154.3309693,215.8834499,233.5917431,353.35,179.33,287.98,244.41,243.91
b4169,49.26374146,175.1363332,76.67672368,53.16321526,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.2875,1.315789474,2.009615385,2.343891403,2.552173913,1.7,4.096,2.31496063,2.178294574,2.561068702,3.276515152,2.848484848,2.022304833,2.691756272,3.089605735,5.387323944,5.928327645,3.679054054,10.47651007,2.313333333,3.435028249,2.600522193,1.430260047,2.634032634,2.45412844,,,,,
b4170,76.79933003,221.0932901,157.7091243,257.6108908,,,,,,,,,,,,,,,,,,,,,,,,7.91875,3.99375,15.34210526,12.88942308,3.081447964,4.543478261,11.7,6.632,5.047244094,4.217054264,5.141221374,5.829545455,5.306818182,10.21933086,2.698924731,3.078853047,2.834507042,3.303754266,3.956081081,2.610738255,0.873333333,4.553672316,1.120104439,0.475177305,2.529137529,2.919724771,17.91,22,14.71,13.73,8.87
b4171,107.6984203,331.0784395,87.94194099,49.4556486,,,,,,,,,,,,,,,,,,,,,,,,14.76875,12.80625,10.01578947,13.85096154,16.49321267,26.06521739,11.675,33.532,21.19685039,14.41472868,16.95419847,24.51515152,22.77272727,12.19330855,13.02150538,23.42293907,28.28521127,18.3105802,23.60135135,38.59731544,12.48333333,21.80508475,20.49869452,10.55791962,21.49184149,18.57568807,,,,,
b4172,,,,,11396.53623,11676.3676,11342.38845,12274.91411,11314.93264,12009.91964,11545.71308,11159.55838,10455.3092,10032.05626,11117.74182,10559.43815,9884.759621,8932.391021,9602.59243,10227.18401,9653.023185,9424.747693,8485.428376,8020.915363,7156.940396,8014.498658,7426.937151,971.1125,725.125,366.2789474,357.5721154,552.4615385,471.2782609,404.8541667,572.372,577.0866142,630.379845,558.7824427,632.3787879,449.5,483.669145,825.8637993,570.3799283,532.9471831,678.3208191,515.2804054,411.0503356,547.7533333,397.0649718,474.0652742,550.7541371,529.9137529,371.7133028,,,,,
b4173,341.1762975,471.2099828,287.6386174,156.7607774,43.90141601,43.45698213,40.2506856,,,43.0860683,,,43.79170725,41.59737918,41.23080807,,41.46276639,,31.859498,35.77254517,,30.39161255,,64.21772909,,,,67.78125,70.5375,94.91578947,88.42307692,89.09954751,74.16956522,87.72083333,106.324,81.7480315,88.44186047,72.75572519,113.2310606,112.1780303,97.49070632,68.54480287,80.40501792,84.20422535,69.93515358,115.8412162,87.03691275,77.32666667,137.0621469,64.71801567,88.3427896,101.8065268,103.3715596,135.69,136.42,138.07,121.18,109.09
b4174,1391.089952,2547.54805,1026.120986,565.7196333,710.2611289,753.5771216,776.4298681,792.9301674,735.3746028,778.6390393,764.4799349,784.6898305,830.7085073,782.6694644,752.076176,846.4171946,907.8653615,785.2797696,815.7380265,856.2002792,741.6085242,742.3592675,753.5305564,690.38551,776.4765466,716.3884129,751.5992382,468.16875,498.44375,478.9105263,512.5769231,406.6244344,425.9782609,486.2041667,562.308,523.8307087,425.0116279,421.7633588,571.4015152,497.5719697,490.9888476,353.9498208,430.311828,475.1267606,334.4300341,510.4054054,552.5738255,340.7,504.7570621,436.7127937,369.5791962,546.9137529,433.8509174,785.23,873.53,973.81,829.01,745.91
b4175,1017.406683,2001.061968,800.2358665,395.6033777,1108.988819,1152.889613,1131.835254,1189.141081,1082.630754,1134.605814,1140.58949,1179.196707,1178.442033,1192.368592,1156.622119,1158.078528,1232.666369,1227.016965,1122.939918,1224.86155,1097.848058,1141.093493,1108.898187,1032.514162,1124.615971,1123.028351,1073.296879,432.525,396.98125,312.1684211,327.7932692,388.6923077,315.2652174,347.1791667,476.48,445.1259843,405.5813953,342.0610687,534.2727273,465.1969697,368.2899628,382.7598566,470.3333333,454.3802817,337.3515358,472.5,418.7818792,281.1833333,337.8531073,384.6318538,298.6997636,495.990676,343.4311927,436.01,427.41,509.78,452.78,448.49
b4177,3732.94951,5530.579644,3126.153737,2050.05542,7943.346395,7987.550994,6798.870664,7300.786641,7023.008428,7952.059173,8196.33723,7364.352482,8177.620634,8322.331994,7756.906335,7819.186742,8404.603748,7736.988259,7956.113887,8066.025806,7740.666851,7568.148311,7526.389033,7576.494097,7564.942985,7961.533832,7841.992381,2243.625,2372.4,2402.8,2305.403846,2161.20362,2602.521739,2789.320833,2456.032,2101.169291,2179.5,2269.759542,2444.295455,1750.159091,3122.579926,2390.383513,2837.659498,2416.461268,2577.395904,2272.952703,1639.442953,2282.25,1911.40113,1284.117493,2252.678487,3070.053613,2272.827982,6538.78,6663.69,5610.05,5289.89,5871.48
b4178,100.1482716,108.0237753,71.74336642,31.86301002,,,,,,,75.69257492,,,,45.67598386,,,,,,,,,,,,,67.1625,22.6875,15.75789474,36.79326923,12.57466063,15.14782609,16.10416667,10.052,30.42519685,18.57751938,22.40076336,19.29924242,,17.14498141,15.03942652,,307.0915493,22.72696246,,46.28187919,2.336666667,7.101694915,,3.078014184,31.66666667,8.181192661,,,,,
b4179,902.6401088,1849.213631,386.1025154,200.9796203,107.0494053,94.20478625,85.50435666,,82.25279027,92.58458491,92.34388778,90.32829772,95.64427298,99.47671963,87.34040097,70.44138567,106.2386284,103.584168,94.79633894,73.30998287,73.65095598,75.5989569,74.35098444,69.21261548,60.73291215,77.42882158,71.77628287,155.7,190.68125,171.6368421,156.2644231,107.6877828,103.4130435,146.4041667,120.756,114.1929134,109.2286822,142.1641221,118.7689394,121.7045455,184.8215613,120.8888889,120.688172,88.23943662,115.4197952,150.0709459,159.8053691,25.14,47.6440678,62.63707572,33.18439716,102.3846154,54.30504587,156.36,139.72,139.7,142.8,146.64
b4180,372.4459573,848.5548546,325.2268891,206.6245419,,63.67925343,56.00217023,,,54.9619146,78.4363607,,62.9735329,,61.74447943,,71.04071712,66.5304538,,,,,,55.11288566,,,,116.4875,81.83125,85.62105263,92.49038462,91.78733032,93.28695652,90.85416667,133.788,106.2716535,75.26356589,115.6526718,153.6287879,106.2651515,97.65427509,122.5734767,103.8243728,165.8661972,91.92150171,108.1891892,143.0637584,126.88,229.1977401,144.5848564,125.6997636,173.0559441,233.7431193,,,,,
b4183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77.15,,,,
b4187,14.45030168,52.83062642,2.553540597,2.155362327,,,,,,,,,,,,,,,,,,,,,,,,54.725,55.18125,16.85263158,11.21634615,7.303167421,7.326086957,4.995833333,1.048,2.090551181,3.290697674,4.27480916,1.768939394,2.678030303,3.936802974,3.161290323,2.634408602,1.049295775,53.06143345,1.077702703,5.406040268,,,3.430809399,,2.312354312,,,,,,
b4188,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23125,1.325,0.668421053,7.692307692,1.497737557,1.6,7.904166667,6.62,1.374015748,5.30620155,3.171755725,0.128787879,,3.576208178,2.863799283,,1.566901408,1.38225256,,2.281879195,,,,,12.15617716,,,,,,
b4190,,,,,,,,,,,,,,,,,,,,,,,,,,,,54.4375,52.6,43.06842105,37.5,31.41628959,40.7173913,33.15416667,35.748,43.27165354,35.81007752,48.7480916,53.96590909,45.18181818,41.92193309,53.58781362,57.96774194,55.96478873,83.32081911,38.18581081,99.97651007,12.40333333,10,65.71279373,7.825059102,84.27972028,5.45412844,,,,,
b4191,44.70204164,69.82920402,24.78022275,17.55469873,,,,,,,,,,,,,,,,,,,,,,,,1.1625,1.15625,10.32631579,10.90865385,4.104072398,7.391304348,7.675,14.408,11.05511811,7.910852713,7.679389313,11.25,8.882575758,8.539033457,2.827956989,8.096774194,10.94366197,1.576791809,3.959459459,3.912751678,10.47,23.6299435,9.890339426,12.13002364,12.72261072,26.77293578,,,,,
b4194,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.075,71.56875,18.43684211,12.25961538,6.900452489,11.89565217,16.11666667,4.328,21.28346457,7.236434109,9.442748092,8.253787879,,14.51301115,8.802867384,,9.943661972,4.488054608,,13.79530201,,,,,11.06526807,,,,,,
b4200,10468.69897,19787.95198,7793.566987,5278.005891,12588.20162,12819.2308,12413.6489,12217.4434,12246.21232,13380.44347,15364.18349,15708.61991,15980.2646,17650.14306,17637.02458,17956.80293,18597.74351,19369.79437,19842.22057,20468.26565,19568.59202,22771.68644,23398.88312,23448.47804,23509.54686,25141.14308,25018.27496,4913.2875,5278.1375,3033.942105,3398.019231,3322.352941,3793.052174,3662.133333,4011.984,4086.338583,3842.093023,4556.583969,4601.55303,3993.420455,4893.472119,6389.734767,5266.516129,6145.088028,5530.010239,4723.510135,5501.208054,6241.876667,6260.680791,7655.18799,8225.64539,9846.617716,9626.071101,13590.71,14288.93,15040.18,15788.31,16781.32
b4201,29.18201194,63.86100313,36.4654047,20.51371952,,,,,,,,,,,,,,,,,,,,,,,,4.51875,2.65625,2.521052632,2.596153846,3.248868778,0.073913043,3.220833333,2.912,0.188976378,3.170542636,4.045801527,3.306818182,1.609848485,3.724907063,4.297491039,3.870967742,3.228873239,5.221843003,3.206081081,7.469798658,,,0.020887728,,0.34032634,,,,,,
b4202,11106.60916,21488.5868,7702.970337,4997.101331,12710.71508,12117.12168,11747.29974,13220.20221,13493.79184,13421.61815,15222.96078,15925.37037,15917.09042,17693.5036,17417.57885,18641.35237,18294.11226,19714.41336,20541.13344,20645.7326,20813.42181,22861.4521,24134.37344,22689.41224,23950.22408,24710.30443,25846.31816,7583,5289.3125,4579.5,5286.134615,6787.013575,5169.021739,5895.741667,6371.956,7293.755906,7953.255814,7752.671756,8494.435606,6845.075758,7682.405204,6646.448029,8872.856631,8949.278169,6769.170648,9975.158784,8299.181208,10152.36,10779.00847,10212.8329,12953.58629,16621.9627,15781.63532,9499.24,9821.72,11963.11,13075.4,12718.59
b4203,7518.484516,14162.62455,5510.498254,3820.885701,23977.94752,24551.83623,23007.55438,24068.10878,25036.08994,25912.76221,28755.43579,31142.5317,31919.09098,33918.9318,34661.02776,36486.34143,37134.63491,38648.1694,38844.26945,40380.91063,39664.27517,45698.15871,45794.56592,46732.14542,47785.01787,50178.27465,50970.31191,12709.81875,10349.19375,4367.3,5505.879808,6308.361991,5920.191304,5975.779167,7941.492,8584.940945,7756.310078,10097.17939,9818.314394,8293.371212,7356.635688,11153.47312,10927.20072,12284.77817,12081.67918,10810.51014,11676.94631,12572.24333,13946.29096,14269.34726,18898.61939,19571.41725,22363.29128,10092.29,10916.93,13644.82,14297.12,17563.59
b4206,555.0830352,1335.230998,263.9003312,118.3392596,,,,,,,,,,,,,,,,,,,,,,,,89.18125,38.78125,79.03157895,74.36057692,76.42986425,70.64347826,66.375,96.596,68.11811024,49.43410853,80.57633588,86.5719697,64.65151515,54.46468401,90.36200717,71.99641577,68.38380282,79.18430034,56.78040541,68.77516779,67.63666667,46.47457627,55,47.3356974,51.78554779,37.70412844,181.84,,78.43,,63.27
b4207,2117.224223,2397.622825,1748.728648,1044.278824,1861.392503,1833.836222,2095.668137,2127.93113,2371.540833,1903.78403,1996.332569,2517.137628,1978.53338,2140.654667,2370.203123,2537.014062,2052.329278,2084.919335,2047.031317,2364.971522,2285.86949,2223.612993,2400.23823,2234.798918,2029.453052,2150.357068,2031.301925,1060.7,1017.70625,568.2631579,748.7644231,836.1447964,781.3478261,876.75,1437.376,1246.326772,1246.53876,1308.748092,1269.060606,1133.488636,1014.126394,1810.691756,1211.480287,1542.746479,1383.976109,1209.922297,936.2483221,1344.32,1403.189266,2184.859008,1675.957447,1862.240093,1554.302752,2000.27,2216.28,2146.96,2177.06,2182.44
b4208,430.0731968,313.0674692,698.317241,117.4668606,713.1854797,737.1803055,834.3190382,,488.3199199,673.0722446,505.3260898,,500.2425231,383.6129202,641.0745231,559.0173477,294.7034802,200.6742158,207.024059,557.7321608,365.2221707,268.7108442,197.1174717,194.665164,199.0413376,,122.2290296,28.21875,24.3125,432.7315789,366.25,120.6968326,167.1347826,366.7041667,179.676,214.1496063,180.3914729,162.3854962,120.625,156.1893939,272.4832714,49.81003584,111.2795699,63.37676056,71.60068259,109.5337838,77.29194631,21.06,53.78813559,127.3002611,11.36879433,43.08391608,14.20642202,602.7,739.86,463.21,352.2,
b4209,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.26875,117.23125,1.684210526,1.288461538,2.031674208,3.143478261,2.445833333,1.344,2.287401575,1.341085271,3.927480916,1.522727273,1.909090909,2.022304833,121.7060932,6.845878136,2.221830986,43.22866894,1.064189189,3.738255034,1.126666667,1.596045198,12.7310705,7.139479905,16.32867133,2.814220183,,,,,
b4211,293.723132,385.2497701,259.6520269,108.6266689,,,,,,,6.901279236,,,5.414286519,,,,5.619549123,,,,,,,,,,52.26875,57.55625,86.76842105,82.09615385,90.49321267,74.22173913,70.80833333,76.656,69.16141732,92.36821705,85.44274809,88.64393939,93.02272727,81.83271375,83.34767025,61.84229391,94.57042254,168.7030717,96.55743243,72.79865772,28.07,37.61581921,67.91644909,18.95508274,30.48951049,23.94724771,78.52,60.51,50.65,52.86,43.16
b4212,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.41875,16.2125,5.173684211,11.97596154,3.271493213,8.247826087,0.145833333,0.876,11.56692913,5.507751938,4.370229008,6.859848485,,13.67286245,6.075268817,,7.161971831,10.58703072,,6.587248322,,,,,14.45920746,,,,,,
b4213,393.715406,259.0923075,299.3519702,76.90458518,74.90899601,283.245525,272.2053739,273.3477083,368.7660796,195.9107731,284.2304438,108.3137618,108.9379306,148.3564333,319.0375788,287.2625138,157.597432,114.2646201,130.8401087,238.9360025,416.2184866,201.4931283,197.3569797,232.5744489,116.938557,130.0668831,61.88691279,73.825,52.8375,108.4210526,107.3269231,85.46606335,114.1086957,117.1625,88.396,101.0629921,110.8333333,94.8778626,74.8219697,100.4734848,91.86988848,41.5483871,72.31182796,47.19366197,39.71672355,61.72297297,59.66778523,37.13333333,34.4039548,99.06005222,123.7635934,124.8904429,66.10779817,293.43,279.99,250.4,156.88,104.66
b4214,1343.537976,3664.984612,805.55726,378.8198453,489.9716992,416.4586506,495.3964493,471.9169311,447.6539996,357.3197574,440.975602,371.4221571,402.0119327,279.1236432,351.3639615,309.8072444,304.9911315,291.106664,329.6651948,295.3971232,217.7708488,240.4277411,200.2262295,202.3528364,216.730891,171.2042617,117.8229691,1139.3625,1196.43125,509.2842105,346.4134615,500.3348416,357.6304348,263.55,334.62,346.8031496,263.7248062,407.5610687,326.0189394,350.1931818,227.5427509,428.7634409,247.3154122,322.7464789,517.4914676,246.7533784,381.1308725,171.7466667,169.779661,241.3524804,136.7470449,228.0606061,132.3302752,1407.91,995.1,649.48,613.43,501.71
b4216,78.34858999,402.329904,102.5832636,14.06119777,,230.1052491,200.9710902,,133.1450642,,,,,,,,,,,,,,,,,,,41.44375,16.15,49.38421053,63.58653846,14.61538462,18.51304348,61.38333333,24.584,26.38976378,21.78294574,89.19083969,22.83712121,27.6780303,40.88847584,9.985663082,9.258064516,15.58802817,5.211604096,15.17905405,11.08724832,3.743333333,4.372881356,80.18798956,39.86052009,93.25174825,45.78211009,1497.45,1860.38,1536.7,883.59,367.19
b4218,34.74005189,18.58307491,18.44924676,6.446519992,,81.58877486,96.89892755,,,86.74167435,,,79.59414643,109.9612867,,,89.87455736,,76.03815722,91.11886223,,,,,,86.42647814,,0.40625,0.28125,19.75263158,17.34134615,0.656108597,3.747826087,19.50833333,5.188,4.480314961,1.569767442,6.270992366,2.704545455,1.712121212,17.01858736,0.917562724,2.096774194,4.197183099,2.150170648,1.081081081,0.533557047,1.653333333,5.994350282,7.114882507,2.553191489,5.130536131,7.896788991,,,,,
b4219,919.117241,2477.297448,569.2238144,321.2657186,132.8101714,122.3594025,115.7031274,,,110.969559,99.91157156,,79.17917465,91.6827386,76.11911634,,,77.30448478,,62.56209552,,50.7213818,,38.8686275,,34.0235396,,466.7875,440.25,232.5473684,246.9038462,372.60181,231.9391304,177.2458333,262.148,225.503937,192.2403101,260.2366412,261.9924242,257.5037879,148.7509294,443.046595,255.874552,241.9894366,477.7098976,218.3817568,277.0604027,138.2466667,83.55649718,132.8903394,68.64539007,170.2261072,53.58486239,1408.6,981.9,920.3,849.27,753
b4220,42.09805398,78.00359968,27.00824053,19.67131662,,,,,,,,,,,,,,,,,,,,,,,,19.8125,22.0125,8.552631579,9.850961538,13.18099548,10.67391304,8.516666667,9.456,9.334645669,8.686046512,13.91984733,10.9280303,9.045454545,8.483271375,23.25448029,12.51612903,12.70422535,14.06143345,9.182432432,12.46979866,5.23,6.059322034,11.57180157,7.106382979,13.995338,11.05733945,,,,,
b4221,21.97378315,39.00573638,12.83659948,11.04988336,,,,,,,,,,,,,,,,,,,,,,,,2.85,1.8375,1.684210526,1.725961538,1.371040724,0.695652174,1.7375,1.7,0.881889764,1.182170543,1.286259542,0.78030303,1.375,1.49070632,1.340501792,1.419354839,1.052816901,1.924914676,1.361486486,2.130872483,2.73,4.033898305,0.746736292,3.463356974,2.186480186,6.866972477,,,,,
b4222,,,,,,,,,,,,,,,,,,,,,,,,,,157.6969462,,296.2625,391.675,161.0210526,240.2788462,298.8235294,220.3652174,173.0916667,206.132,303.3267717,346.8217054,333.3854962,439.8901515,237.0606061,235.5092937,241.1827957,307.2222222,379.4929577,464.0887372,441.8378378,346.1711409,424.5666667,520.9011299,240.002611,410.2884161,283.7272727,594.6926606,306.52,291.54,254.48,233.77,237.11
b4224,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8375,1.48125,0.105263158,0.485576923,0.122171946,0.626086957,0.175,0.356,21.4488189,0.26744186,0.675572519,0.575757576,,0.219330855,4.440860215,,2.996478873,2.518771331,,6.684563758,,,,,0.167832168,,,,,,
b4225,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.2375,32.70625,36.33684211,32.57692308,78.87782805,45.05217391,30.38333333,53.02,32.74409449,67.31782946,39.29007634,31.64772727,63.15909091,26.08921933,31.23297491,30.03942652,25.39084507,25.14675768,55.85810811,25.96979866,,,11.97650131,,10.62004662,,,,,,
