reaction_id,name,reversible,dG_reaction,source
R_EX_lac__D_e,D-lactate exchange,False,0,calculated_from_formation_energies
R_EX_lac__L_e,L-Lactate exchange,False,0,calculated_from_formation_energies
R_EX_feenter_e,Fe-enterobactin exchange,False,0,calculated_from_formation_energies
R_EX_feoxam_e,Ferroxamine exchange,False,0,calculated_from_formation_energies
R_EX_feoxam_un_e,Ferroxamine minus Fe(3) exchange,False,0,calculated_from_formation_energies
R_EX_for_e,Formate exchange,False,0,calculated_from_formation_energies
R_EX_lcts_e,Lactose exchange,False,0,calculated_from_formation_energies
R_EX_23cgmp_e,"2',3'-Cyclic GMP exchange",False,0,calculated_from_formation_energies
R_EX_leu__L_e,L-Leucine exchange,False,0,calculated_from_formation_energies
R_EX_lipa_e,KDO(2)-lipid (A) exchange,False,0,calculated_from_formation_energies
R_EX_fru_e,D-Fructose exchange,False,0,calculated_from_formation_energies
R_EX_frulys_e,Fructoselysine exchange,False,0,calculated_from_formation_energies
R_EX_lipa_cold_e,Cold adapted KDO(2)-lipid (A) exchange,False,0,calculated_from_formation_energies
R_EX_fruur_e,D-Fructuronate exchange,False,0,calculated_from_formation_energies
R_EX_23cump_e,"2',3'-Cyclic UMP exchange",False,0,calculated_from_formation_energies
R_EX_fuc__L_e,L-Fucose exchange,False,0,calculated_from_formation_energies
R_EX_fum_e,Fumarate exchange,False,0,calculated_from_formation_energies
R_EX_lipoate_e,Lipoate exchange,False,0,calculated_from_formation_energies
R_EX_lys__L_e,L-Lysine exchange,False,0,calculated_from_formation_energies
R_EX_lyx__L_e,L-Lyxose exchange,False,0,calculated_from_formation_energies
R_EX_mal__D_e,D-Malate exchange,False,0,calculated_from_formation_energies
R_EX_fusa_e,Fusidic acid exchange,False,0,calculated_from_formation_energies
R_EX_23dappa_e,"2,3-diaminopropionate exchange",False,0,calculated_from_formation_energies
R_EX_mal__L_e,L-Malate exchange,False,0,calculated_from_formation_energies
R_EX_malt_e,Maltose exchange,False,0,calculated_from_formation_energies
R_EX_malthx_e,Maltohexaose exchange,False,0,calculated_from_formation_energies
R_EX_maltpt_e,Maltopentaose exchange,False,0,calculated_from_formation_energies
R_EX_manglyc_e,2(alpha-D-Mannosyl)-D-glycerate exchange,False,0,calculated_from_formation_energies
R_EX_melib_e,Melibiose exchange,False,0,calculated_from_formation_energies
R_EX_meoh_e,Methanol exchange,False,0,calculated_from_formation_energies
R_EX_met__D_e,D-Methionine exchange,False,0,calculated_from_formation_energies
R_EX_met__L_e,L-Methionine exchange,False,0,calculated_from_formation_energies
R_EX_malttr_e,Maltotriose exchange,False,0,calculated_from_formation_energies
R_EX_maltttr_e,Maltotetraose exchange,False,0,calculated_from_formation_energies
R_EX_26dap__M_e,"Meso-2,6-Diaminoheptanedioate exchange",False,0,calculated_from_formation_energies
R_EX_man_e,D-Mannose exchange,False,0,calculated_from_formation_energies
R_EX_man6p_e,D-Mannose 6-phosphate exchange,False,0,calculated_from_formation_energies
R_EX_metsox_R__L_e,L-methionine-R-sulfoxide exchange,False,0,calculated_from_formation_energies
