n,raw_r2,raw_rmse,log1p_r2,log1p_rmse,log10eps_r2,log10eps_rmse,zero_true_fraction,zero_pred_fraction,lt_0p1_fraction,lt_0p5_fraction,scope,Method,threshold
31,0.532210099007441,1.0357838254105052,0.5237709713763768,0.30768914595283225,-33.570484409300846,1.8041158984292163,0.0,0.0967741935483871,0.0,0.0,classic_Pgi,FluxAnchor,0.5
23,0.3706422625460042,1.1797856936047972,0.36716129820167664,0.31043430487744006,0.3203879573732953,0.19838033815693687,0.0,0.0,0.0,0.0,classic_Pgi,FluxAnchor,1.0
126,0.4741487111572694,0.8702835802821848,0.5498522911360046,0.3427811354648996,0.4389138343037743,2.027762357697707,0.35714285714285715,0.46825396825396826,0.5555555555555556,0.7301587301587301,classic_Crp,FluxAnchor,0.0
78,0.36466988075920526,1.096763384293381,0.40586848073104276,0.4256914659505457,-10.47891029601842,2.366122059681852,0.0,0.1794871794871795,0.28205128205128205,0.5641025641025641,classic_Crp,FluxAnchor,0.01
70,0.3215047739415072,1.1576286327831622,0.34083946384797303,0.4491100044316995,-12.618886470970516,2.375626171399628,0.0,0.17142857142857143,0.2,0.5142857142857142,classic_Crp,FluxAnchor,0.05
56,0.19419416957934332,1.2938503721894172,0.12808269582274057,0.5012001012830316,-21.439531204016852,2.4877005809569233,0.0,0.17857142857142858,0.0,0.39285714285714285,classic_Crp,FluxAnchor,0.1
45,-0.017273171850131108,1.442841888518455,-0.2998801878258517,0.5580039367376736,-41.23279000924925,2.5463140219387355,0.0,0.17777777777777778,0.0,0.24444444444444444,classic_Crp,FluxAnchor,0.2
34,-0.48061907203310916,1.6526972010244412,-1.3727887807913968,0.6292611537407907,-64.55660328105537,2.2082102156285015,0.0,0.11764705882352941,0.0,0.0,classic_Crp,FluxAnchor,0.5
28,-0.8258467665686873,1.759134011720303,-2.254564201064737,0.665053206055003,-83.29705914494343,2.1563378679199263,0.0,0.10714285714285714,0.0,0.0,classic_Crp,FluxAnchor,1.0
378,0.5773136642846344,1.0791143201271958,0.7376733595635259,0.27415247694635453,0.5299399691403424,1.8527360232263483,0.35978835978835977,0.4470899470899471,0.5343915343915344,0.746031746031746,all_classic,KinLLM,0.0
236,0.5275736209210178,1.3619757986760934,0.6705914805381128,0.3410109130584602,-7.745046930602953,2.087007221446004,0.0,0.1440677966101695,0.2542372881355932,0.5932203389830508,all_classic,KinLLM,0.01
213,0.5111750712305967,1.433561690383308,0.6437610940784856,0.358733502981548,-9.428275253470707,2.0592449449611006,0.0,0.1267605633802817,0.17370892018779344,0.5492957746478874,all_classic,KinLLM,0.05
176,0.4742615608063343,1.5768535908458445,0.5795150596759626,0.3939302492479321,-13.680910075907326,2.173271119848062,0.0,0.13636363636363635,0.0,0.45454545454545453,all_classic,KinLLM,0.1
131,0.4062730715889282,1.8045926118461626,0.44275612013557797,0.43965425952524273,-26.830447412890074,2.389961306369644,0.0,0.16030534351145037,0.0,0.26717557251908397,all_classic,KinLLM,0.2
96,0.31431371563245813,2.050789199051425,0.22202085079376432,0.4748503902248752,-41.49856116122638,2.265010141986285,0.0,0.13541666666666666,0.0,0.0,all_classic,KinLLM,0.5
72,0.16552116170935183,2.3544620645216883,-0.11297869060323529,0.5182646035056372,-39.632316916547005,1.8477285079344286,0.0,0.08333333333333333,0.0,0.0,all_classic,KinLLM,1.0
126,0.5709686861314462,1.5313034094303115,0.8714195555260994,0.2202200848296454,0.6784721044839777,1.5403305012093271,0.35714285714285715,0.4523809523809524,0.49206349206349204,0.753968253968254,classic_Zwf,KinLLM,0.0
80,0.5293885401264977,1.9217705265942018,0.8404129491865154,0.2763740119524902,-5.568609011662898,1.915312372775275,0.0,0.1375,0.2,0.6125,classic_Zwf,KinLLM,0.01
72,0.5156458131579189,2.025654537332473,0.8294576064466948,0.2909123131806663,-6.19596609296384,1.769967110033253,0.0,0.09722222222222222,0.1111111111111111,0.5694444444444444,classic_Zwf,KinLLM,0.05
64,0.4982296245515525,2.148408741914378,0.8156964750231357,0.3078692033702459,-8.157110138134472,1.8748352412378695,0.0,0.109375,0.0,0.515625,classic_Zwf,KinLLM,0.1
